N	English	Spelling	IPA
1	I	eu	eu
2	you (singular)	"tu, você"	"tu, voˈse"
3	he	ele	ˈeli
4	we	nós	nɔ(j)s
5	you (plural)	"vós, vocês"	"vɔ(j)s, vɔˈse(j)s"
6	they	"eles, elas"	"ˈelis, ˈɛlɐʃ"
7	this	"isto, este, esta"	"ˈistu, ˈest͡ʃi, ˈɛsta"
8	that	"aquilo, aquele"	"aˈkilu, aˈkeli"
9	here	aqui	aˈki
10	there	"aí, lá, ali"	"aˈi, la, ɐˈli"
11	who	quem	kẽ̃j̃
12	what	"que, o que"	"ki, u ki"
13	where	onde	ˈõd͡ʒi
14	when	quando	ˈkwɐ̃du
15	how	como	ˈkomu
16	not	não	nɐ̃w̃
17	all	"todo, tudo"	"ˈtodu, ˈtudu"
18	many	muito	ˈmũj̃tu
19	some	"alguns, algum"	"auˈɡũs, awˈɡũ"
20	few	pouco	ˈpo(w)ku
21	other	outro	ˈo(w)tɾu
22	one	um	ũ
23	two	dois	dois
24	three	três	tɾes
25	four	quatro	ˈkwatɾu
26	five	cinco	ˈsĩku
27	big	grande	ˈɡɾɐ̃d͡ʒi
28	long	"longo, comprido"	"ˈlõɡu, kõˈpɾidu"
29	wide	"largo, amplo"	"ˈlaʁɡu, ˈɐ̃plu"
30	thick	"espesso, grosso"	"isˈpesu, ˈɡɾosu"
31	heavy	pesado	peˈzadu
32	small	pequeno	piˈkenu
33	short	curto	ˈkuʁtu
34	narrow	estreito	isˈtɾejtu
35	thin	"fino, magro, delgado"	"ˈfinu, ˈmaɡɾu, dewˈɡadu"
36	woman	mulher	muˈʎɛɾ
37	man (male)	homem	ˈomẽj̃
38	man (human)	homem	ˈomẽj̃
39	child	criança	kɾiˈɐ̃sɐ
40	wife	"mulher, esposa"	"muˈʎɛɾ, isˈpoza"
41	husband	"marido, esposo"	"maˈɾidu, isˈpozu"
42	mother	mãe	mɐ̃j̃
43	father	pai	pai
44	animal	animal	aniˈmaw
45	fish	peixe	ˈpe(j)ʃi
46	bird	"ave, pássaro"	"ˈavi, ˈpasaɾu"
47	dog	"cão, cachorro"	"kɐ̃w̃, kɐʃoʁu"
48	louse	piolho	piˈoʎu
49	snake	"serpente, cobra"	"seʁˈpẽt͡ʃi, ˈkɔbɾɐ"
50	worm	"verme, bicho"	"ˈvɛʁmi, ˈbiʃu"
51	tree	árvore	ˈaʁvoɾi
52	forest	"floresta, bosque"	"floˈɾɛstɐ, ˈbɔski"
53	stick	"bastão, pau"	"basˈtɐ̃w̃, paʊ"
54	fruit	"fruta, fruto"	"ˈfɾutɐ, ˈfɾutu"
55	seed	semente	seˈmẽtʃi
56	leaf	folha	ˈfoʎɐ
57	root	raiz	xa'is
58	bark (of a tree)	casca	ˈkaskɐ
59	flower	flor	flox
60	grass	"erva, grama, relva"	"ˈɛʁvɐ, ˈɡɾɐ̃mɐ, ˈʁɛɫvɐ"
61	rope	corda	ˈkɔʁdɐ
62	skin	pele	ˈpɛli
63	meat	carne	ˈkaʁni
64	blood	sangue	ˈsɐ̃ɡi
65	bone	ossa	ˈosu
66	fat (noun)	gordura	ɡoʁˈduɾɐ
67	egg	ovo	ˈovu
68	horn	"chifre, corno"	"ˈʃifɾi, ˈkoʁnu"
69	tail	"cauda, rabo"	"ˈkawdɐ, ˈxabu"
