N	English	Spelling	IPA
1	I (1sg)	je	/ʒə/
2	you (2sg)	tu (informal), vous (formal)	/ty/, /vu/
3	he, she, it (3sg)	il (masculine), elle (feminine)	/il/, /ɛl/
4	we (1pl)	nous	/nu/
5	you (2pl)	vous	/vu/
6	they (3pl)	ils (masculine), elles (feminine)	/il/, /ɛl/
7	this	ceci	/sə.si/
8	that	cela	/sə.la/
9	here	ici	/i.si/
10	there	là	/la/
11	who	qui	/ki/
12	what	quoi	/kwa/
13	where	où	/u/
14	when	quand	/kã/
15	how	comment	/kɔ.mã/
16	not	ne pas	/nə ... pɑ/
17	all	tout	/tu/
18	many	beaucoup	/bo.ku/
19	some	quelques	/kelk/
20	few	peu	/pø/
21	other	autre	/otʁ/
22	one	un	/œ̃/
23	two	deux	/dø/
24	three	trois	/tʁwɑ/
25	four	quatre	/katʁ/
26	five	cinq	/sɛ̃k/
27	big	grand	/ɡʁã/
28	long	long	/lõ/
29	wide	large	/laʁʒ/
30	thick	épais	/epɛ/
31	heavy	lourd	/luʁ/
32	small	petit	/pəti/
33	short	court	/kuʁ/
34	narrow	étroit	/etʁwa/
35	thin	mince	/mɛ̃s/
36	woman	femme	/fam/
37	man (adult male)	homme	/ɔm/
38	man (human being)	homme	/ɔm/
39	child	enfant	/ɑ̃fɑ̃/
40	wife	femme, épouse	/fam/, /epuz/
41	husband	mari, époux	/maʁi/, /epu/
42	mother	mère	/mɛʁ/
43	father	père	/pɛʁ/
44	animal	animal	/animal/
45	fish	poisson	/pwasõ/
46	bird	oiseau	/wazo/
47	dog	chien	/ʃjɛ̃/
48	louse	pou	/pu/
49	snake	serpent	/sɛʁpɑ̃/
50	worm	ver	/vɛʁ/
51	tree	arbre	/aʁbʁ/
52	forest	forêt	/fɔʁɛ/
53	stick	bâton	/bɑtɔ̃/
54	fruit	fruit	/fʁɥi/
55	seed	graine	/ɡʁɛn/
56	leaf	feuille	/fœj/
57	root	racine	/ʁasin/
58	bark (of a tree)	écorce	/ekɔʁs/
59	flower	fleur	/flœʁ/
60	grass	herbe	/ɛʁb/
61	rope	corde	/kɔʁd/
62	skin	peau	/po/
63	meat	viande	/vjɑ̃d/
64	blood	sang	/sɑ̃/
65	bone	os	/ɔs/
66	fat (noun)	graisse	/ɡʁɛs/
