N	English	Spelling
1	I	jo
2	you (singular)	tu
3	he	lui
4	we	nô, noaltris
5	you (plural)	vô, voaltris
6	they	lôr
7	this	chest
8	that	chel
9	here	ca, chi, culì, chenti
10	there	là, culà
11	who	cui
12	what	ce
13	where	dulà
14	when	cuant
15	how	cemût
16	not	no
17	all	dut
18	many	tancj
19	some	cetancj, cualchi
20	few	pôc
21	other	altri
22	one	un
23	two	doi (male), dôs (female)
24	three	trê
25	four	cuatri
26	five	cinc
27	big	grant
28	long	lunc
29	wide	larc
30	thick	grues, penç
31	heavy	pesant
32	small	piçul
33	short	curt
34	narrow	stret
35	thin	fin, sutîl
36	woman	femine
37	man (adult male)	om
38	man (human being)	persone, cristian
39	child	frut
40	wife	femine
41	husband	om, marît
42	mother	mari
43	father	pari
44	animal	animâl, nemâl
45	fish	pes
46	bird	ucel
47	dog	cjan
48	louse	pedoli
49	snake	sarpint, madrac
50	worm	vier
51	tree	arbul
52	forest	bosc
53	stick	baston, mace
54	fruit	pome
55	seed	samence, semence
56	leaf	fuee
57	root	lidrîs
58	bark (of a tree)	scuarce, scusse
59	flower	flôr, rose
60	grass	jerbe
61	rope	cuarde
62	skin	piel
63	meat	cjar
64	blood	sanc
65	bone	vues
66	fat (noun)	gras
67	egg	ûf
68	horn	cuar
69	tail	code
70	feather	plume
71	hair	cjaveli
72	head	cjâf
73	ear	orele, vorele
74	eye	voli
75	nose	nâs
76	mouth	bocje
77	tooth	dint
78	tongue (organ)	lenghe
79	fingernail	ongule
80	foot	pît
81	leg	gjambe
82	knee	zenoli
83	hand	man
84	wing	ale
85	belly	panze
86	guts	budiel, intestin
87	neck	cuel
88	back	schene
89	breast	pet
90	heart	cûr
91	liver	fiât
92	to drink	bevi
93	to eat	mangjâ
94	to bite	muardi
95	to suck	supâ
96	to spit	spudâ
97	to vomit	gomitâ
98	to blow	soflâ
99	to breathe	respirâ
100	to laugh	ridi
101	to see	viodi
102	to hear	sintî
103	to know	savê
104	to think	pensâ
105	to smell	nasâ
106	to fear	temê, temi
107	to sleep	durmî
108	to live	vivi
109	to die	murî
110	to kill	copâ
111	to fight	lotâ
112	to hunt	cjaçâ
113	to hit	colpî
114	to cut	taiâ
115	to split	dividi
116	to stab	scurtissâ
117	to scratch	sgrafâ, sgrifignâ
118	to dig	sgjavâ, sgarfâ
119	to swim	nadâ
120	to fly	svolâ
121	to walk	cjaminâ
122	to come	vignî
123	to lie (as in a bed)	distirâsi
124	to sit	sintâsi
125	to stand	stâ impins
126	to turn (intransitive)	zirâ, voltâ
127	to fall	colâ
128	to give	dâ
129	to hold	tignî
130	to squeeze	struçâ
131	to rub	russâ
132	to wash	lavâ, netâ
133	to wipe	suiâ
134	to pull	tirâ
135	to push	sburtâ
136	to throw	butâ, lançâ
137	to tie	leâ
138	to sew	cusî
139	to count	contâ
140	to say	dî
141	to sing	cjantâ
142	to play	zuiâ
143	to float	vongolâ, stâ sù
144	to flow	scolâ
145	to freeze	glaçâ
146	to swell	sglonfâ
147	sun	soreli
148	moon	lune
149	star	stele
150	water	aghe
151	rain	ploie
152	river	flum
153	lake	lâc
154	sea	mâr
155	salt	sâl
156	stone	piere
157	sand	savalon
158	dust	polvar
159	earth	tiere
160	cloud	nûl
161	fog	fumate
162	sky	cîl
163	wind	aiar, arie, vint
164	snow	nêf
165	ice	glaç
166	smoke	fum
167	fire	fûc
168	ash	cinise
169	to burn	brusâ
170	road	strade
171	mountain	mont, montagne
172	red	ros
173	green	vert
174	yellow	zâl
175	white	blanc
176	black	neri
177	night	gnot
178	day	dì, zornade
179	year	an
180	warm	cjalt
181	cold	frêt
182	full	plen
183	new	gnûf
184	old	vieli, vieri, vecjo
185	good	bon
186	bad	trist
187	rotten	frait, vuast
188	dirty	sporc, soç
189	straight	dret
190	round	taront, tont
191	sharp (as a knife)	uçât, guât
192	dull (as a knife)	asiât
193	smooth	lis
194	wet	umit, bagnât
195	dry	sec, suiât
196	correct	coret, just
197	near	dongje
198	far	lontan
199	right	drete, diestre
200	left	çampe
201	at	a
202	in	in
203	with	cun
204	and	e
205	if	se
206	because	parcè, parcè che
207	name	non
