N	English	Spelling	IPA
1	I	io	/ˈiːo/
2	you (singular)	tu	/tu/
3	he	lui, egli, esso	/ˈluːi/, /ˈeʎ.ʎi/, /ˈɛs.so/
4	we	noi	/ˈnoːi/
5	you (plural)	voi	/ˈvoːi/
6	they	loro, essi	/ˈloːro/, /ˈɛs.si/
7	this	questo	/ˈkwes.to/
8	that	quello	/ˈkwel.lo/
9	here	qui, qua	/ˈkwi/, /ˈkwa/
10	there	là	/ˈla/
11	who	chi	/ˌki/
12	what	che, cosa, che cosa (informal)	/ˌke/, /ˈkɔ.za/, /ˌkeˈ kɔ.za/
13	where	dove	/ˈdoː.ve/
14	when	quando	/ˈkwan.do/
15	how	come	/ˈkoː.me/
16	not	non	/ˌnon/
17	all	tutto	/ˈtu.tːo/
18	many	molti, tanti	/ˈmol.ti/, /ˈtan.ti/
19	some	alcuni, qualche	/alˈkuː.ni/, /ˈkwal.ke/
20	few	poco	/ˈpɔːko/
21	other	altro	/ˈaltro/
22	one	un/uno (m.), una/un' (f.)	/ˈuːn/, /ˈuː.no/, /ˈuː.na/, /ˈuː.n‿/
23	two	due	/ˈduː.e/
24	three	tre	/ˈtre/
25	four	quattro	/ˈkwa.tːro/
26	five	cinque	/ˈt͡ʃiŋ.kwe/
27	big	grande	/ˈɡran.de/
28	long	lungo	/ˈluŋ.ɡo/
29	wide	largo	/ˈlar.ɡo/
30	thick	spesso	/ˈspɛs.so/
31	heavy	pesante	/peˈsan.te/
32	small	piccolo	/ˈpi.kːo.lo/
33	short	corto	/ˈkor.to/
34	narrow	stretto	/ˈstrɛ.tːo/
35	thin	sottile	/soˈtːiː.le/
36	woman	donna	/ˈdɔn.na/
37	man (male)	uomo	/ˈwɔː.mo/
38	man (human)	uomo (rare), persona, essere umano	/ˈwɔː.mo/, /perˈso.na/, /ˈɛs.se.re. uˌma.no/
39	child	bambino	/ˌbamˈbiːno/
40	wife	moglie	/ˈmoʎ.ʎe/
41	husband	marito	/maˈriː.to/
42	mother	madre	/ˈmaːd.re/
43	father	padre	/ˈpaːd.re/
44	animal	animale	/a.niˈmaː.le/
45	fish	pesce	/ˈpeʃ.ʃe/
46	bird	uccello	/uˈt͡ʃːɛl.lo/
47	dog	cane	/ˈkaː.ne/
48	louse	pidocchio	/piˈdɔ.kːjo/
49	snake	serpente	/serˈpɛn.te/
50	worm	verme	/ˈvɛr.me/
51	tree	albero	/ˈalˌbe.ro/
52	forest	selva, foresta	/ˈsel.va/
53	stick	bastone	/basˈtoː.ne/
54	fruit	frutta	/ˈfru.tːa/
55	seed	seme	/ˈseː.me/
56	leaf	foglia	/ˈfɔʎ.ʎa/
57	root	radice	/raˈdiː.t͡ʃe/
58	bark (of a tree)	corteccia	/korˈte.t͡ʃːa/
59	flower	fiore	/ˈfjoː.re/
60	grass	erba	/ˈɛr.ba/
61	rope	corda	/ˈkɔr.da/
62	skin	pelle	/ˈpɛl.le/
63	meat	carne	/ˈkar.ne/
64	blood	sangue	/ˈsaŋ.ɡwe/
65	bone	osso	/ˈɔs.so/
66	fat (noun)	grasso	/ˈɡras.so/
67	egg	uovo	/ˈwɔː.vo/
68	horn	corno	/ˈkɔr.no/
69	tail	coda	/ˈkoː.da/
70	feather	piuma	/ˈpjuː.ma/
71	hair	capelli	/kaˈpel.li/
72	head	testa	/ˈtɛs.ta/
73	ear	orecchio	/ɔˈre.kːjo/
74	eye	occhio	/ˈɔkːjo/
75	nose	naso	/ˈnaː.so/
76	mouth	bocca	/ˈbo.kːa/
77	tooth	dente	/ˈdɛn.te/
78	tongue	lingua	/ˈliŋ.ɡwa/
79	fingernail	unghia	/ˈuŋ.ɡja/
80	foot	piede	/ˈpjeː.de/
81	leg	gamba	/ˈɡam.ba/
82	knee	ginocchio	/d͡ʒiˈnɔ.kːjo/
83	hand	mano	/ˈmaː.no/
84	wing	ala	/ˈaː.la/
85	belly	pancia	/ˈpan.t͡ʃa/
86	guts	intestino	/in.tesˈtiː.no/
87	neck	collo	/ˈkɔl.lo/
88	back	schiena	/ˈskje.na/
89	breast	petto, seno (of human female, the organ), mammella (the organ)	/ˈpɛ.tːo/, /ˈseˌno/, /ˌmamˈmɛl.la/
90	heart	cuore	/ˈkwɔː.re/
91	liver	fegato	/ˈfeː.ɡa.to/
92	to drink	bere	/ˈbeː.re/
93	to eat	mangiare	/manˈd͡ʒaː.re/
94	to bite	mordere	/ˈmɔr.de.re/
95	to suck	succhiare	/suˈkːjaː.re/
96	to spit	sputare	/spuˈtaːre/
97	to vomit	vomitare	/ˌvɔ.miˈtaːre/
98	to blow	soffiare	/sofˈfjaː.re/
99	to breathe	respirare	/res.piˈraː.re/
100	to laugh	ridere	/ˈriː.de.re/
101	to see	vedere	/ˌveˈdeː.re/
102	to hear	udire	/uˈdiː.re/
103	to know	sapere	/saˈpeː.re/
104	to think	pensare	/penˈsaː.re/
105	to smell	odorare	/o.doˈraː.re/
106	to fear	temere	/teˈmeː.re/
107	to sleep	dormire	/dorˈmiː.re/
108	to live	vivere	/ˈviː.ve.re/
109	to die	morire	/moˈriː.re/
110	to kill	uccidere	/uˈt͡ʃːiːˌde.re/
111	to fight	combattere	/komˈba.tːe.re/
112	to hunt	cacciare	/kaˈt͡ʃːaː.re/
113	to hit	colpire	/kolˈpiː.re/
114	to cut	tagliare	/taʎˈʎaː.re/
115	to split	fendere	/ˈfɛn.de.re/
116	to stab	pugnalare	/puɲ.ɲaˈlaː.re/
117	to scratch	graffiare	/ɡrafˈfjaː.re/
118	to dig	scavare	/skaˈvaː.re/
119	to swim	nuotare	/nwoˈtaː.re/
120	to fly	volare	/voˈlaː.re/
121	to walk	camminare	/ˌkam.miˈnaː.re/
122	to come	venire	/veˈniː.re/
123	to lie (as in a bed)	giacere	/d͡ʒaˈt͡ʃeː.re/
124	to sit	sedere/sedersi (action), essere seduto / stare seduto (state)	/ˌseˈdeːre/, /seˈderˌsi/, /ˈɛs.se.reˌ seˈduː.to/, /ˈstaː.reˌ seˈduː.to/
125	to stand	alzarsi (idiomatic), erigersi (rare) (action), stare in piedi (idiomatic), stare eretto (rare) (state)	/alˈt͡sarˌsi/, /eˈriˌd͡ʒer.si/, /ˈstaː.re. in ˌpjeː.di/, /ˈstaː.re eˈrɛˌtːi/
126	to turn (intransitive)	girare	/d͡ʒiˈraː.re/
127	to fall	cadere	/kaˈdeː.re/
128	to give	dare	/ˈdaː.re/
129	to hold	tenere	/teˈneː.re/
130	to squeeze	spremere	/ˈspreː.me.re/
131	to rub	strofinare	/ˌstro.fiˈnaː.re/
132	to wash	lavare	/laˈvaː.re/
133	to wipe	asciugare	/ˌaʃ.ʃuˈɡaː.re/
134	to pull	tirare	/tiˈraː.re/
135	to push	spingere	/ˈspin.d͡ʒe.re/
136	to throw	lanciare	/lanˈt͡ʃaː.re/
137	to tie	legare	/leˈɡaː.re/
138	to sew	cucire	/kuˈt͡ʃiː.re/
139	to count	contare	/konˈtaː.re/
140	to say	dire	/ˈdiː.re/
141	to sing	cantare	/kanˈtaːre/
142	to play	giocare, suonare (an instrument)	/d͡ʒoˈkaːre/
143	to float	galleggiare	/ˌɡal.ledˈd͡ʒaː.re/
144	to flow	fluire	/ˌfluˈiː.re/
145	to freeze	gelare	/ˌd͡ʒeˈlaː.re/
146	to swell	gonfiarsi	/ˌɡonˈfjar.si/
147	sun	sole	/ˈsoː.le/
148	moon	luna	/ˈluː.na/
149	star	stella	/ˈstel.la/
150	water	acqua	/ˈa.kːwa/
151	rain	pioggia	/ˈpjɔ.d͡ʒːa/
152	river	fiume	/ˈfjuː.me/
153	lake	lago	/ˈlaː.ɡo/
154	sea	mare	/ˈmaː.re/
155	salt	sale	/ˈsaː.le/
156	stone	pietra	/ˈpjeː.tra/
157	sand	sabbia	/ˈsa.bːja/
158	dust	polvere	/ˈpol.ve.re/
159	earth	suolo, terra	/ˈswɔː.lo/, /ˈtɛr.ra/
160	cloud	nuvola	/ˈnuː.vo.la/
161	fog	nebbia	/ˈne.bːja/
162	sky	cielo	/ˈt͡ʃeː.lo/
163	wind	vento	/ˈvɛn.to/
164	snow	neve	/ˈneː.ve/
165	ice	ghiaccio	/ˈɡjat͡ʃːo/
166	smoke	fumo	/ˈfuː.mo/
167	fire	fuoco	/ˈfwɔː.ko/
168	ash	ceneri	/ˈt͡ʃeː.ne.ri/
169	to burn	bruciare	/bruˈt͡ʃaː.re/
170	road	strada	/ˈstraː.da/
171	mountain	montagna	/monˈtaɲ.ɲa/
172	red	rosso	/ˈros.so/
173	green	verde	/ˈver.de/
174	yellow	giallo	/ˈd͡ʒal.lo/
175	white	bianco	/ˈbjaŋ.ko/
176	black	nero	/ˈneː.ro/
177	night	notte	/ˈnɔ.tːe/
178	day	giorno	/ˈd͡ʒor.no/
179	year	anno	/ˈan.no/
180	warm	caldo	/ˈkal.do/
181	cold	freddo	/ˈfre.dːo/
182	full	pieno	/ˈpjeː.no/
183	new	nuovo	/ˈnwɔː.vo/
184	old	vecchio	/ˈvɛ.kːjo/
185	good	buono	/ˈbwɔː.no/
186	bad	cattivo	/katˈtiː.vo/
