N	english	spelling	script	IPA
1	I	ego	ego	ˈɛ.ɡoː
2	you (singular)	tu	tv	ˈt̪uː
3	he	is (m.), ea (f.), id (n.)	is, ea, id	ˈɪs, ˈe.a, ˈɪd̪
4	we	nos	nos	ˈnoːs
5	you (plural)	vos	vos	ˈwoːs
6	they	ei, ii (m.), eae (f.), ea (n.)	ei, ii, eae, ea	ˈe.iː/ˈi.iː, ˈe.ae̯, ˈe.a
7	this	hic (m.), haec (f.), hoc (n.)	hic, haec, hoc	ˈhɪk, ˈhae̯k, ˈhɔk
8	that	ille (m.), illa (f.), illud (n.)	ille, illa, illvd	ˈɪl.lʲɛ, ˈɪl.lʲa, ˈɪl.lʲʊd
9	here	hic	hic	ˈhɪk
10	there	illic, ibi	illic, ibi	ˈɪl.lʲɪk, ˈɪ.bɪ
11	who	quis (m.), quae (f.)	qvis, qvae	ˈkᶣɪs, ˈkʷae̯
12	what	quid	qvid	ˈkᶣɪd̪
13	where	ubi	vbi	ˈʊ.bɪ
14	when	cum, quando	cvm, qvando	ˈkʊ̃ˑ, ˈkʷan̪.d̪oː
15	how	quomodo	qvomodo	ˈkʷoː.mɔ.d̪ɔ
16	not	non, ne	non, ne	ˈnoːn, ˈneː
17	all	omnes (mf.), omnia (n.)	omnes, omnia	ˈɔm.neːs, ˈɔm.ni.a
18	many	multi (m.), multae (f.), multa (n.)	mvlti, mvltae, mvlta	ˈmʊɫ.t̪iː, ˈmʊɫ.t̪ae̯, ˈmʊɫ.t̪a
19	some	aliqui (m.), aliqua (f.), aliquod (n.)	aliqvi, aliqva, aliqvod	ˈa.lʲɪ.kᶣiː, ˈa.lʲɪ.kʷa, ˈa.lʲɪ.kʷɔd̪
20	few	pauci (m.), paucae (f.), pauca (n.)	pavci, pavcae, pavca	ˈpaʊ̯.kiː, ˈpaʊ̯.kae̯, ˈpaʊ̯.ka
21	other	alter, alius	alter, alivs	ˈaɫ̪.t̪ɛ̞r, ˈa.lʲi.ʊs
22	one	unus	vnvs	ˈuː.nʊs
23	two	duo	dvo	ˈd̪ʊ.ɔ
24	three	tres	tres	t̪reːs
25	four	quattuor	qvattvor	ˈkʷat̪.t̪ʊ.ɔr
26	five	quinque	qvinqve	ˈkᶣiːŋ.kᶣɛ
27	big	magnus	magnvs	ˈmaŋ.nʊs
28	long	longus	longvs	ˈɫɔŋ.ɡʊs
29	wide	latus	latvs	ˈɫaː.t̪ʊs
30	thick	crassus	crassvs	ˈkras.sʊs
31	heavy	gravis	gravis	ˈɡra.wɪs
32	small	parvus	parvvs	ˈpar.wʊs
33	short	brevis	brevis	ˈbrɛ.wɪs
34	narrow	angustus	angvstvs	aŋ.ˈɡʊs̪.t̪ʊs
35	thin	gracilis, tenuis	gracilis, tenvis	ˈɡra.kɪ.lʲɪs, ˈt̪ɛ.nʊ.ɪs
36	woman	femina, mulier	femina, mvlier	ˈfeː.mɪ.na, ˈmʊ.lʲɪ.ɛ̞r
37	man (adult male)	vir	vir	ˈwɪr
38	man (human being)	homo	homo	ˈhɔ.moː
39	child	puer	pver	ˈpʊ.ɛ̞r
40	wife	uxor, mulier	vxor, mvlier	ˈʊk.sɔr, ˈmʊ.lʲɪ.ɛ̞r
41	husband	maritus	maritvs	ma.ˈriː.t̪ʊs
42	mother	mater	mater	ˈmaː.t̪ɛ̞r
43	father	pater	pater	ˈpa.t̪ɛ̞r
44	animal	animal	animal	ˈa.nɪ.maɫ
45	fish	piscis	piscis	ˈpɪs.kɪs
46	bird	avis	avis	ˈa.wɪs
47	dog	canis	canis	ˈka.nɪs
48	louse	pedis (pediculus)	pedis (pedicvlvs)	ˈpeː.d̪ɪs (peː.ˈd̪iː.kʊ.ɫʊs)
49	snake	serpens, anguis	serpens, angvis	ˈsɛ̞r.pẽːs, ˈaŋ.ɡᶣɪs
50	worm	vermis	vermis	ˈwɛ̞r.mɪs
51	tree	arbor	arbor	ˈar.bɔr
52	forest	silva	silva	ˈsɪɫ.wa
53	stick	baculum, palus	bacvlvm, palvs	ˈba.kʊ.ɫʊ̃ˑ, ˈpaː.ɫʊs
54	fruit	fructus	frvctvs	ˈfruːk.t̪ʊs
55	seed	semen	semen	ˈseː.mɛn
56	leaf	folium	folivm	ˈfɔ.lʲɪ.ʊ̃ˑ
57	root	radix	radix	ˈraː.d̪iːks
58	bark (of a tree)	cortex	cortex	ˈkɔr.t̪ɛks
59	flower	flos	flos	ˈfɫoːs
60	grass	herba	herba	ˈhɛ̞r.ba
61	rope	funis, restis	fvnis, restis	ˈfuː.nɪs, ˈrɛs.t̪ɪs
62	skin	cutis	cvtis	ˈkʊ.t̪ɪs
63	meat	caro	caro	ˈka.roː
64	blood	sanguis	sangvis	ˈsaŋ.ɡᶣɪs
65	bone	os	os	ˈɔs
66	fat (noun)	pinguamen	pingvamen	ˈa.d̪ɛps, pɪŋ.ˈɡʷaː.mɛn
67	egg	ovum	ovvm	ˈɔ.wʊ̃ˑ
68	horn	cornu	cornv	ˈkɔr.nuː
69	tail	cauda	cavda	ˈkaʊ̯.d̪a
70	feather	penna	penna	ˈpɛn.na
71	hair	pilus	pilvs	ˈpɪ.ɫʊs
72	head	caput	capvt	ˈka.pʊt̪
73	ear	auris	avris	ˈaʊ̯.rɪs
74	eye	oculus	ocvlvs	ˈɔ.kʊ.ɫʊs
75	nose	nasus, naris	nasvs, naris	ˈnaː.sʊs, ˈnaː.rɪs
76	mouth	os	os	ˈoːs
77	tooth	dens	dens	ˈd̪ẽːs
78	tongue (organ)	lingua	lingva	ˈlʲɪŋ.ɡʷa
79	fingernail	unguis	vngvis	ˈʊŋ.ɡᶣɪs
80	foot	pes	pes	ˈpeːs
81	leg	crus	crvs	ˈkruːs
82	knee	genu	genv	ˈɡɛ.nuː
83	hand	manus	manvs	ˈma.nʊs
84	wing	ala	ala	ˈaː.ɫa
85	belly	venter, abdomen	venter, abdomen	ˈwɛn̪.t̪ɛ̞r, ab.doː.mɛn
86	guts	viscera	viscera	ˈwɪs.kʊs
87	neck	cervix	cervix	ˈkɛ̞r.wiːks
88	back	dorsum, tergum	dorsvm, tergvm	ˈd̪ɔr.sʊ̃ˑ, ˈt̪ɛ̞r.ɡʊ̃ˑ
89	breast	mamma	mamma	ˈmam.ma
90	heart	cor	cor	ˈkɔr
91	liver	iecur	iecvr	ˈjɛ.kʊr
92	to drink	bibere	bibere	ˈbɪ.bɛ.rɛ
93	to eat	edere	edere	ˈɛ.dɛ.rɛ
94	to bite	mordere	mordere	mɔr.d̪eː.rɛ
95	to suck	sugere	svgere	ˈsuː.ɡɛ.rɛ
96	to spit	spuere	spvere	ˈspʊ.ɛ.rɛ
97	to vomit	vomere	vomere	ˈwɔ.mɛ.rɛ
98	to blow	(in)flare	inflare	ˈfɫaː.rɛ
99	to breathe	(re)spirare	respirare	spiː.ˈraː.rɛ
100	to laugh	ridere	ridere	riː.ˈd̪eː.rɛ
101	to see	videre	videre	wɪ.ˈd̪eː.rɛ
102	to hear	audire	avdire	aʊ̯.ˈd̪iː.rɛ
103	to know	scire	scire	ˈskiː.rɛ
104	to think	cogitare, putare, existimare	cogitare, pvtare, existimare	koː.ɡɪ.ˈt̪aː.rɛ, pʊ.ˈt̪aː.rɛ, ɛk.siːs̪.t̪ɪ.ˈmaː.rɛ
105	to smell	olfacere	olfacere	ɔɫ.ˈfa.kɛ.rɛ
106	to fear	timere	timere	t̪ɪ.ˈmeː.rɛ
107	to sleep	dormire	dormire	d̪ɔr.ˈmiː.rɛ
108	to live	vivere	vivere	ˈwiː.wɛ.rɛ
109	to die	mori	mori	ˈmɔ.riː
110	to kill	necare	necare	nɛ.ˈkaː.rɛ
111	to fight	luctari, pugnare	lvctari, pvgnare	ɫuːk.ˈt̪aː.riː
112	to hunt	venari	venari	pʊŋ.ˈnaː.rɛ
113	to hit	pellere, pulsare	pellere, pvlsare	weː.ˈnaː.riː
114	to cut	secare, caedere	secare, caedere	ˈpɛl.lʲɛ.rɛ
115	to split	dividere, scindere	dividere, scindere	d̪iː.ˈwɪ.d̪ɛ.rɛ, ˈskɪn̪.d̪ɛ.rɛ
116	to stab	pungere	pvngere	ˈpʊŋ.ɡɛ.rɛ
117	to scratch	scabere, radere	scabere, radere	ˈska.bɛ.rɛ, ˈraː.d̪ɛ.rɛ
118	to dig	fodere	fodere	ˈfɔ.d̪ɛ.rɛ
119	to swim	nare, natare	nare, natare	ˈnaː.rɛ, na.ˈt̪aː.rɛ
120	to fly	volare	volare	wɔ.ˈɫaː.rɛ
121	to walk	ambulare	ambvlare	am.bʊ.ˈɫaː.rɛ
122	to come	venire	venire	wɛ.ˈniː.rɛ
123	to lie (as in a bed)	cubare, iacere	cvbare, iacere	kʊ.ˈbaː.rɛ, ja.ˈkeː.rɛ
124	to sit	sedere	sedere	sɛ.ˈd̪eː.rɛ
125	to stand	stare	stare	ˈs̪t̪aː.rɛ
126	to turn (intransitive)	vertere	vertere	ˈwɛ̞r.t̪ɛ.rɛ
127	to fall	cadere	cadere	ˈka.dɛ.rɛ
128	to give	dare	dare	ˈda.rɛ
129	to hold	tenere	tenere	t̪ɛ.ˈneː.rɛ
130	to squeeze	exprimere	exprimere	ɛks.ˈprɪ.mɛ.rɛ
131	to rub	fricare, terere	fricare, terere	frɪ.ˈkaː.rɛ, ˈt̪ɛ.rɛ.rɛ
132	to wash	lavare	lavare	ɫa.ˈwaː.rɛ
133	to wipe	tergere	tergere	t̪ɛ̞r.ˈɡeː.rɛ
134	to pull	trahere	trahere	ˈt̪ra.hɛ.rɛ
135	to push	pellere	pellere	ˈpɛl.lʲɛ.rɛ
136	to throw	iacere	iacere	ˈja.kɛ.rɛ
137	to tie	ligare	ligare	lʲɪ.ˈɡaː.rɛ
138	to sew	(con)suere	consvere	ˈsʊ.ɛ.rɛ
139	to count	computare, numerare	compvtare, nvmerare	kɔm.pʊ.ˈt̪aː.rɛ, nʊ.mɛ.ˈraː.rɛ
140	to say	dicere	dicere	ˈd̪ɪ.kɛ.rɛ
141	to sing	canere	canere	ˈka.nɛ.rɛ
142	to play	ludere	lvdere	ˈɫuː.dɛ.rɛ
