N	English	Spelling	IPA
1	I	yo	/ʝo/
2	you (singular)	tú, vos, usted (formal)	/tu/, /bos/, /usˈteð/
3	he	él	/el/
4	we	nosotros, nosotras	/noˈsotɾos/, /noˈsotɾas/
5	you (plural)	vosotros, vosotras, ustedes (formal)	/boˈsotɾos/, /boˈsotɾas/, /usˈteðes/
6	they	ellos, ellas	/ˈeʎos/, /ˈeʎas/
7	this	este	/ˈeste/
8	that	ese, aquel	/ˈese/, /aˈkel/
9	here	aquí, acá	/aˈki/, /aˈka/
10	there	ahí	/aˈi/
11	who	quien	/kjen/
12	what	que	/ke/
13	where	donde	/ˈdonde/
14	when	cuando	/ˈkwando/
15	how	como	/ˈkomo/
16	not	no	/no/
17	all	todo	/ˈtoðo/
18	many	muchos	/ˈmut͡ʃos/
19	some	algunos	/alˈɣunos/
20	few	poco	/ˈpoko/
21	other	otro	/ˈotɾo/
22	one	uno	/ˈuno/
23	two	dos	/dos/
24	three	tres	/tɾes/
25	four	cuatro	/ˈkwatɾo/
26	five	cinco	/ˈθiŋko/
27	big	grande	/ˈɡɾande/
28	long	largo	/ˈlaɾɣo/
29	wide	ancho	/ˈant͡ʃo/
30	thick	grueso	/ˈɡɾweso/
31	heavy	pesado	/peˈsaðo/
32	small	pequeño	/peˈkeɲo/
33	short	corto	/ˈkoɾto/
34	narrow	estrecho, angosto	/esˈtɾet͡ʃo/
35	thin	delgado, flaco	/delˈɣaðo/, /ˈflako/
36	woman	mujer	/muˈxeɾ/
37	man (male)	hombre	/ˈombɾe/
38	man (human)	hombre	/ˈombɾe/
39	child	niño	/ˈniɲo/
40	wife	esposa, mujer	/esˈposa/, /muˈxeɾ/
41	husband	esposo, marido	/esˈposo/, /maˈɾiðo/
42	mother	madre	/ˈmaðɾe/
43	father	padre	/ˈpaðɾe/
44	animal	animal	/aniˈmal/
45	fish	pez, pescado	/peθ/, /pesˈkaðo/
46	bird	pájaro	/ˈpaxaɾo/
47	dog	perro	/ˈpero/
48	louse	piojo	/ˈpjoxo/
49	snake	serpiente	/seɾˈpjente/
50	worm	gusano	/ɡuˈsano/
51	tree	árbol	/ˈaɾβol/
52	forest	bosque	/ˈboske/
53	stick	palo	/ˈpalo/
54	fruit	fruta	/ˈfɾuta/
55	seed	semilla	/seˈmiʎa/
56	leaf	hoja	/ˈoxa/
57	root	raíz	/raˈiθ/
58	bark (of a tree)	corteza	/koɾˈteθa/
59	flower	flor	/floɾ/
60	grass	hierba	/ˈʝeɾβa/
61	rope	cuerda	/ˈkweɾða/
62	skin	piel	/pjel/
63	meat	carne	/ˈkaɾne/
64	blood	sangre	/ˈsaŋɡɾe/
65	bone	hueso	/ˈweso/
66	fat (noun)	grasa	/ˈɡɾasa/
67	egg	huevo	/ˈweβo/
68	horn	cuerno	/ˈkweɾno/
69	tail	cola	/ˈkola/
70	feather	pluma	/ˈpluma/
71	hair	cabello	/kaˈβeʎo/
72	head	cabeza	/kaˈβeθa/
73	ear	oreja	/oˈɾexa/
74	eye	ojo	/ˈoxo/
75	nose	nariz	/naˈɾiθ/
76	mouth	boca	/ˈboka/
77	tooth	diente	/ˈdjente/
78	tongue	lengua	/ˈleŋɡwa/
79	fingernail	uña	/ˈuɲa/
80	foot	pie	/pje/
81	leg	pierna	/ˈpjeɾna/
82	knee	rodilla	/roˈðiʎa/
83	hand	mano	/ˈmano/
84	wing	ala	/ˈala/
85	belly	barriga	/baˈriɣa/
86	guts	tripas	/ˈtɾipas/
87	neck	cuello	/ˈkweʎo/
88	back	espalda	/esˈpalda/
89	breast	pecho	/ˈpet͡ʃo/
90	heart	corazón	/koɾaˈθon/
91	liver	hígado	/ˈiɣaðo/
92	to drink	beber	/beˈβeɾ/
93	to eat	comer	/koˈmeɾ/
94	to bite	morder	/moɾˈðeɾ/
95	to suck	chupar	/t͡ʃuˈpaɾ/
96	to spit	escupir	/eskuˈpiɾ/
97	to vomit	vomitar	/bomiˈtaɾ/
98	to blow	soplar	/soˈplaɾ/
99	to breathe	respirar	/respiˈɾaɾ/
100	to laugh	reír	/reˈiɾ/
101	to see	ver	/beɾ/
102	to hear	oír	/oˈiɾ/
103	to know	saber	/saˈβeɾ/
104	to think	pensar	/penˈsaɾ/
105	to smell	oler	/oˈleɾ/
