N	English	Spelling
1	I	dji; mi
2	you (singular)	vos
3	he	i; lu
4	we	nos; nozôtes
5	you (plural)	vos; vozôtes
6	they	i; zels
7	this	ci
8	that	çoula
9	here	chal, droci
10	there	la, låvå
11	who	kî
12	what	cwè
13	where	wice
14	when	cwand
15	how	comint
16	not	nén
17	all	tot
18	many	bråmint
19	some	sacwants
20	few	pô
21	other	ôte
22	one	on, onk
23	two	deus
24	three	troes
25	four	cwate
26	five	cénk
27	big	grand
28	long	longou
29	wide	lådje
30	thick	s(i)pès
31	heavy	pezant
32	small	p(i)tit
33	short	court
34	narrow	s(i)troet
35	thin	mwinre
36	woman	feme
37	man (adult male)	ome
38	man (human being)	djin
39	child	efant
40	wife	feme
41	husband	ome
42	mother	mame
43	father	pa
44	animal	biesse
45	fish	pexhon
46	bird	oujhea, moxhon
47	dog	tchén
48	louse	piou
49	snake	sierpint
50	worm	halene
51	tree	åbe
52	forest	bwès
53	stick	baston
54	fruit	frut
55	seed	grinne
56	leaf	foye
57	root	raecene
58	bark (of a tree)	schoice
59	flower	fleur
60	grass	yebe
61	rope	coide
62	skin	pea
63	meat	tchå
64	blood	sonk
65	bone	oxhea
66	fat (noun)	cråxhe
67	egg	oû
68	horn	coine
69	tail	cawe
70	feather	plome
71	hair	tch(i)vea, poyaedje
72	head	tiesse
73	ear	oraye
74	eye	ouy
75	nose	nez
76	mouth	boke
77	tooth	dint
78	tongue (organ)	linwe
79	fingernail	ongue
80	foot	pî
81	leg	djambe
82	knee	dj(i)no
83	hand	mwin
84	wing	aile
85	belly	vinte
86	guts	boyeas
87	neck	hatrea, gozî
88	back	dos
89	breast	pwetrene
90	heart	cour
91	liver	foete
92	to drink	boere
93	to eat	magnî
94	to bite	hagnî
95	to suck	sucî
96	to spit	raetchî
97	to vomit	r(i)nåder
98	to blow	shofler
99	to breathe	respirer
100	to laugh	rire
101	to see	vey
102	to hear	ôre
103	to know	saveur
104	to think	tuzer
105	to smell	sinti
106	to fear	aveur peu
107	to sleep	doirmi
108	to live	viker
109	to die	mori
110	to kill	touwer
111	to fight	si bate
112	to hunt	tchessî
113	to hit	bouxhî
114	to cut	côper
115	to split	pårti
116	to stab	
117	to scratch	greter
118	to dig	schåvler
119	to swim	nedjî
120	to fly	voler
121	to walk	roter
122	to come	v(i)ni
123	to lie (as in a bed)	coûkî
124	to sit	ashir
125	to stand	astamper
126	to turn (intransitive)	tourner
127	to fall	tchair, toumer
128	to give	d(i)ner
129	to hold	t(i)ni
130	to squeeze	s(i)trinde
131	to rub	froyî
132	to wash	netyî
133	to wipe	xhorbi
134	to pull	saetchî
135	to push	poûssî
136	to throw	taper
137	to tie	loyî
138	to sew	keuze
139	to count	conter
140	to say	dire
141	to sing	tchanter
142	to play	djouwer
143	to float	floter
144	to flow	couler
145	to freeze	djaler
146	to swell	infler
147	sun	solea
148	moon	lune
149	star	s(i)toele
150	water	aiwe
151	rain	plouve
152	river	aiwe
153	lake	lak
154	sea	mer
155	salt	sé
156	stone	pire
157	sand	såvlon
158	dust	poûssire
159	earth	tere, daegn
160	cloud	nûlêye
161	fog	brouyård
162	sky	cir
163	wind	vint
164	snow	nivaye
165	ice	glaece
166	smoke	foumire
167	fire	feu
168	ash	cinde
169	to burn	broûler
170	road	voye
171	mountain	montinne
172	red	rodje
173	green	vert
174	yellow	djaene
175	white	blanc
176	black	noer
177	night	nute
178	day	djoû
179	year	anêye
180	warm	tchôd
181	cold	froed
182	full	plin
183	new	novea
184	old	vî
185	good	bon
186	bad	måva, mwais
187	rotten	pouri
188	dirty	mannet, måssî
189	straight	droet
190	round	rond
191	sharp (as a knife)	côpant, awijhî
192	dull (as a knife)	diswijhî
193	smooth	lisse, doûs
194	wet	frexh
195	dry	setch
196	correct	djusse
197	near	près
198	far	lon
199	right	droete
200	left	hintche
201	at	a
202	in	dins
203	with	avou
204	and	et, eyet
205	if	si
206	because	paski
207	name	no
