Gen	lnL	lnP	TL	Insertion	Deletion	R[1-1]	R[1-2]	R[1-3]	R[1-4]	R[1-5]	R[1-6]	R[1-7]	R[1-8]	R[1-9]	R[1-10]	R[1-11]	R[1-12]	R[1-13]	R[2-2]	R[2-3]	R[2-4]	R[2-5]	R[2-6]	R[2-7]	R[2-8]	R[2-9]	R[2-10]	R[2-11]	R[2-12]	R[2-13]	R[3-3]	R[3-4]	R[3-5]	R[3-6]	R[3-7]	R[3-8]	R[3-9]	R[3-10]	R[3-11]	R[3-12]	R[3-13]	R[4-4]	R[4-5]	R[4-6]	R[4-7]	R[4-8]	R[4-9]	R[4-10]	R[4-11]	R[4-12]	R[4-13]	R[5-5]	R[5-6]	R[5-7]	R[5-8]	R[5-9]	R[5-10]	R[5-11]	R[5-12]	R[5-13]	R[6-6]	R[6-7]	R[6-8]	R[6-9]	R[6-10]	R[6-11]	R[6-12]	R[6-13]	R[7-7]	R[7-8]	R[7-9]	R[7-10]	R[7-11]	R[7-12]	R[7-13]	R[8-9]	R[8-10]	R[8-11]	R[8-12]	R[8-13]	R[9-9]	R[9-10]	R[9-11]	R[9-12]	R[9-13]	R[10-10]	R[10-11]	R[10-12]	R[10-13]	R[11-12]	R[11-13]	R[12-12]	R[12-13]	R[13-13]	F[0]	F[1]	F[2]	F[3]	F[4]	F[5]	F[6]	F[7]	F[8]	F[9]	F[10]	F[11]	F[12]	F[13]	F[14]	F[15]	F[16]	F[17]	F[18]	F[19]	F[20]	F[21]	F[22]	F[23]	F[24]	F[25]	F[26]	F[27]	F[28]	F[29]	F[30]	F[31]	F[32]	F[33]	F[34]	F[35]	F[36]	F[37]	F[38]	F[39]	F[40]	F[41]	F[42]	F[43]	F[44]	F[45]	F[46]	F[47]	F[48]	F[49]	F[50]	F[51]	F[52]	F[53]	F[54]	F[55]	F[56]	F[57]	F[58]	F[59]	F[60]	F[61]	F[62]	F[63]	F[64]	F[65]	F[66]	F[67]	F[68]	F[69]	F[70]	F[71]	F[72]	F[73]	F[74]	F[75]	F[76]	F[77]	F[78]	F[79]	F[80]	F[81]	F[82]	F[83]	F[84]	
1	-44561	-498.856	1.89858	0.00930252	0.0136645	0.0190129	0.00437035	0.000360825	0.00903038	0.0179665	0.014275	0.00493472	0.00509273	0.0112285	0.00257047	0.00337397	0.011123	0.00573687	0.00650195	0.0148532	0.00147546	0.0387814	0.0166687	0.00933763	0.0068982	0.0131974	0.0301954	0.00448283	0.00585016	0.00575818	0.00390424	0.00036674	0.0159053	0.00555307	0.0111617	0.00789946	0.000614815	0.0101264	0.0202109	0.0168859	0.0128802	0.0122806	0.011202	0.0113234	0.00095535	0.00180579	0.0157973	0.0215938	0.0277615	0.00389194	0.00327171	0.0289636	0.00205144	0.000587449	0.00166455	0.0263232	0.00420723	0.00145201	0.0237475	0.0081301	0.0107514	0.0103878	6.11854e-05	0.00821726	0.000341305	0.0144435	0.00481752	0.00091138	0.0154106	0.0321935	0.0250376	0.0191347	0.00593351	0.00175524	0.0140393	0.00246808	0.0126938	0.0303824	0.0142811	0.0103248	0.00167306	0.0047592	0.0100966	0.0238121	0.0260085	0.0340755	0.000837917	0.0124892	0.00401948	0.0179851	0.0326576	0.00274978	0.00676391	0.0128901	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	0.0117647	
100	-43267.2	-451.48	2.93839	0.0095761	0.0133909	0.019127	0.00439657	0.00036299	0.00271844	0.011466	0.0143606	0.00496432	0.00512328	0.0112958	0.00258589	0.00339421	0.0111898	0.00129737	0.00654095	0.0149424	0.00148431	0.0390141	0.0167687	0.00939365	0.00693959	0.0321761	0.0303766	0.00450973	0.00588526	0.00579273	0.00392766	0.00036894	0.0160008	0.00558638	0.0112286	0.00794685	0.00100191	0.0101871	0.0203321	0.0169872	0.0129574	0.0123543	0.0112692	0.0113913	0.000961081	0.00181662	0.0158921	0.0217233	0.027928	0.00391529	0.00329134	0.0291374	0.00206375	0.000590974	0.00167454	0.0264811	0.00423247	0.00146072	0.02389	0.00817888	0.0108159	0.0104501	6.15525e-05	0.00826656	0.000343352	0.0145302	0.00484642	0.000916847	0.0155031	0.0245528	0.0251879	0.0192495	0.00596911	0.00176577	0.0141235	0.00248289	0.01277	0.0305646	0.0143668	0.0103868	0.0016831	0.00478776	0.0101571	0.023955	0.0261645	0.0342799	0.000842944	0.0125642	0.00404359	0.018093	0.0328535	0.00276628	0.00680448	0.0129674	0.00791633	0.011882	0.011882	0.011882	0.011882	0.011882	0.011882	0.011882	0.011882	0.011882	0.011882	0.011882	0.011882	0.011882	0.011882	0.011882	0.011882	0.011882	0.011882	0.011882	0.011882	0.011882	0.011882	0.011882	0.011882	0.011882	0.011882	0.011882	0.011882	0.011882	0.011882	0.011882	0.011882	0.011882	0.011882	0.011882	0.011882	0.011882	0.011882	0.0156064	0.011882	0.011882	0.011882	0.011882	0.011882	0.011882	0.011882	0.011882	0.011882	0.011882	0.011882	0.011882	0.011882	0.011882	0.011882	0.011882	0.011882	0.011882	0.011882	0.011882	0.011882	0.011882	0.011882	0.011882	0.011882	0.011882	0.011882	0.011882	0.011882	0.011882	0.0085001	0.011882	0.011882	0.011882	0.011882	0.011882	0.011882	0.011882	0.00553557	0.011882	0.011882	0.011882	0.011882	0.011882	0.011882	
200	-40877.8	-461.825	3.89219	0.0129442	0.0181008	0.0192225	0.00100158	0.000364802	0.000999843	0.0115232	0.0144323	0.00498911	0.00514886	0.0113522	0.0025988	0.00341115	0.0112456	0.00130384	0.00657361	0.015017	0.00149172	0.0392088	0.0168524	0.00944054	0.00697423	0.0323367	0.0305282	0.00453224	0.00591464	0.00582164	0.00394727	0.000370782	0.0160806	0.00561427	0.0112847	0.00798652	0.00100691	0.010238	0.0204336	0.017072	0.0130221	0.012416	0.0113255	0.0114482	0.000965879	0.00182569	0.0159714	0.0218318	0.0280674	0.00393484	0.00330777	0.0292829	0.00207405	0.000593924	0.0016829	0.0140193	0.0042536	0.00146802	0.0240092	0.00821971	0.0108699	0.0105023	6.18598e-05	0.00830783	0.001	0.0146027	0.00487061	0.000921424	0.0155805	0.0246754	0.0253136	0.0193456	0.00599891	0.00177458	0.014194	0.00249528	0.0128337	0.0307172	0.0144385	0.0104386	0.0016915	0.00481166	0.0102078	0.0240746	0.0262951	0.0344511	0.000847152	0.0126269	0.00406378	0.0302793	0.0330176	0.00278009	0.00683845	0.0130321	0.00810751	0.0121689	0.0121689	0.0121689	0.0121689	0.0121689	0.0121689	0.0121689	0.0121689	0.0121689	0.0121689	0.0107363	0.0250409	0.0121689	0.0121689	0.0121689	0.0121689	0.0121689	0.0121689	0.0121689	0.0121689	0.0121689	0.0121689	0.0121689	0.0121689	0.0121689	0.0121689	0.0121689	0.0121689	0.0121689	0.0121689	0.0121689	0.0121689	0.0121689	0.00196431	0.0189154	0.0121689	0.0121689	0.0121689	0.0159833	0.0121689	0.0121689	0.0121689	0.0121689	0.0121689	0.0121689	0.0121689	0.0126832	0.0121689	0.0121689	0.0121689	0.0101743	0.00146205	0.0121689	0.0121689	0.0121689	0.0121689	0.0121689	0.0121689	0.0121689	0.0121689	0.0121689	0.0121689	0.0121689	0.0121689	0.0121689	0.0121689	0.0121689	0.0121689	0.0121689	0.00870538	0.0121689	0.0121689	0.0121689	0.00332669	0.0121689	0.0121689	0.0121689	0.00566926	0.0121689	0.0121689	0.0121689	0.0121689	0.00106736	0.0121689	
300	-38420.8	-403.601	4.98769	0.0349239	0.0452851	0.019414	0.00101155	0.000368437	0.0010098	0.011638	0.0145761	0.00104156	0.00520016	0.00101429	0.00262469	0.00101186	0.0010015	0.00131683	0.0066391	0.0151666	0.00150659	0.0395995	0.0170203	0.0095346	0.00704372	0.0585173	0.0308324	0.0045774	0.00597357	0.001	0.0039866	0.000374476	0.0162408	0.00149201	0.0113971	0.00806609	0.00101694	0.01034	0.0206372	0.0172421	0.0131519	0.0125397	0.0114383	0.0115623	0.000975503	0.00941004	0.0161305	0.0220493	0.0283471	0.00397404	0.00334072	0.0295746	0.00209471	0.000599841	0.00169966	0.0104224	0.00429598	0.00148264	0.0242484	0.00514651	0.0109782	0.0106069	6.24761e-05	0.0083906	0.000997313	0.0147482	0.00491914	0.000930605	0.0157357	0.0249212	0.0255658	0.0195383	0.00605868	0.00179226	0.0143354	0.00252014	0.0129616	0.0310233	0.0145824	0.0105426	0.00152027	0.0048596	0.0103095	0.0243144	0.0265571	0.0347943	0.000855592	0.0127527	0.00410427	0.030581	0.0333465	0.00280778	0.00690659	0.013162	0.00841826	0.0126354	0.0126354	0.0126354	0.0126354	0.0126354	0.0126354	0.0126354	0.0126354	0.0126354	0.0126354	0.0111478	0.0260006	0.0126354	0.0126354	0.0126354	0.0126354	0.0126354	0.0126354	0.0126354	0.0126354	0.0126354	0.0126354	0.0126354	0.0126354	0.0126354	0.0126354	0.0095897	0.0126354	0.0126354	0.00101672	0.0126354	0.0126354	0.0126354	0.0020396	0.0196404	0.0126354	0.0126354	0.001	0.0165959	0.0126354	0.0126354	0.0126354	0.0126354	0.0126354	0.0126354	0.0126354	0.0131693	0.0126354	0.0126354	0.0126354	0.0105643	0.00151809	0.0126354	0.00663743	0.00660493	0.0126354	0.0126354	0.0126354	0.0126354	0.0126354	0.0126354	0.0126354	0.0126354	0.0126354	0.0126354	0.0126354	0.0126354	0.0126354	0.0126354	0.00903904	0.0126354	0.0126354	0.0126354	0.0034542	0.0126354	0.0126354	0.0126354	0.00588655	0.0126354	0.0126354	0.0126354	0.0126354	0.00110827	0.0126354	
400	-36924.4	-416.088	5.74677	0.0607645	0.0787919	0.0188059	0.000979872	0.000356897	0.000978177	0.00558055	0.0141196	0.00100894	0.00503728	0.000982525	0.00254249	0.000980168	0.000970136	0.000962631	0.00643116	0.0146915	0.0014594	0.0383592	0.00385776	0.00923597	0.00871206	0.0566845	0.0390741	0.00443403	0.00578647	0.000968679	0.00386173	0.000362747	0.0157322	0.00144527	0.0110402	0.00781346	0.00100569	0.0100161	0.0199909	0.0167021	0.0127399	0.0121469	0.0110801	0.0112001	0.000944949	0.0262375	0.0156253	0.0213587	0.0376334	0.00384957	0.00323609	0.0286483	0.0020291	0.000581054	0.00164643	0.010096	0.00416143	0.00143621	0.023489	0.00498532	0.0106344	0.0102747	6.05193e-05	0.0081278	0.000966077	0.00405811	0.00476507	0.000901458	0.0152428	0.0241407	0.0247651	0.0189264	0.00586891	0.00173613	0.0138864	0.00244121	0.0125556	0.0300516	0.0141257	0.0102124	0.00147266	0.00470739	0.00998664	0.0235529	0.0257253	0.0337045	0.000828794	0.0123533	0.00397572	0.0296232	0.0323021	0.0244909	0.00669027	0.0127497	0.00867186	0.013016	0.013016	0.013016	0.013016	0.013016	0.013016	0.013016	0.0152955	0.013016	0.013016	0.0113837	0.0289773	0.013016	0.013016	0.013016	0.00713297	0.013016	0.013016	0.013016	0.013016	0.013016	0.013016	0.00929985	0.013016	0.013016	0.013016	0.0098786	0.013016	0.013016	0.00102639	0.013016	0.013016	0.013016	0.00210104	0.0202321	0.013016	0.013016	0.00103013	0.0170959	0.013016	0.013016	0.013016	0.013016	0.013016	0.00164801	0.013016	0.0135661	0.013016	0.013016	0.013016	0.0108825	0.00156382	0.013016	0.00683739	0.00680391	0.013016	0.013016	0.013016	0.013016	0.001751	0.013016	0.013016	0.013016	0.013016	0.013016	0.013016	0.013016	0.013016	0.013016	0.00931135	0.013016	0.013016	0.013016	0.00355826	0.013016	0.013016	0.013016	0.0038182	0.013016	0.013016	0.013016	0.013016	0.00114166	0.013016	
500	-36236.6	-375.22	5.74677	0.103808	0.122171	0.0189447	0.0009871	0.00035953	0.000985393	0.00562172	0.0142237	0.00101638	0.00507445	0.000989774	0.00256124	0.000987399	0.000977293	0.000969732	0.0064786	0.0147999	0.00147016	0.0386422	0.00388622	0.00930411	0.00877633	0.0571027	0.0393624	0.00446674	0.00582916	0.000975825	0.00389022	0.00100802	0.0158482	0.00145594	0.0111216	0.0078711	0.00101311	0.00901264	0.0213876	0.0159921	0.0128339	0.0122365	0.0111618	0.0112827	0.00100616	0.0264311	0.0157406	0.0215163	0.037911	0.00387797	0.00325996	0.0288596	0.00204407	0.00058534	0.00165857	0.0101705	0.00419213	0.0014468	0.0236622	0.0050221	0.0107128	0.00700042	6.09658e-05	0.00412508	0.000973204	0.00408805	0.00480022	0.000908108	0.0153553	0.0243188	0.0249478	0.019066	0.00591221	0.00174893	0.0139889	0.00245922	0.0126483	0.0302733	0.0142299	0.0102878	0.00148352	0.00474212	0.0100603	0.0237266	0.0259151	0.0339532	0.000834908	0.0124444	0.00400505	0.0298417	0.0325404	0.0246716	0.00673962	0.0128438	0.00909281	0.00940629	0.0136478	0.0136478	0.0136478	0.0136478	0.0136478	0.0136478	0.0160379	0.0136478	0.0136478	0.0119363	0.0303839	0.0136478	0.0136478	0.0136478	0.00747922	0.0136478	0.0136478	0.0136478	0.0136478	0.0136478	0.0136478	0.00975128	0.0136478	0.0136478	0.0136478	0.0103581	0.0136478	0.0136478	0.00102707	0.0136478	0.0111568	0.0136478	0.00220303	0.0212142	0.0136478	0.0136478	0.00103428	0.0179258	0.00648646	0.0136478	0.0136478	0.0136478	0.0136478	0.001728	0.0136478	0.0142246	0.0136478	0.0136478	0.0136478	0.0114108	0.00163973	0.0136478	0.00716929	0.00713418	0.0136478	0.00101443	0.0136478	0.0136478	0.00183599	0.0136478	0.00192108	0.0136478	0.0136478	0.0136478	0.0136478	0.0136478	0.0136478	0.0136478	0.00976334	0.0136478	0.0136478	0.0136478	0.00373098	0.0136478	0.0136478	0.0136478	0.00400354	0.0136478	0.0136478	0.0136478	0.0136478	0.00119707	0.00345531	
600	-35815.2	-372.812	4.40539	0.154368	0.181675	0.0175812	0.000916055	0.000333653	0.000914471	0.0052171	0.0132	0.000943231	0.00470922	0.000918536	0.00110147	0.000916332	0.000906954	0.000899937	0.00601231	0.0137347	0.00136435	0.0358609	0.00360651	0.00863445	0.00814466	0.0529928	0.0365293	0.00414525	0.00540961	0.000905591	0.00888412	0.000935469	0.0147076	0.00135115	0.0103211	0.00730458	0.000940195	0.00836396	0.0198483	0.0148411	0.0119102	0.0113558	0.0103584	0.0104707	0.000933746	0.0245287	0.0146077	0.0199676	0.0261015	0.00359886	0.00302533	0.0377399	0.00189695	0.000543211	0.0015392	0.00943845	0.00389041	0.00134267	0.0219592	0.00466064	0.00994177	0.00649657	5.65778e-05	0.00382818	0.000903159	0.00379381	0.00445473	0.000842748	0.0142501	0.0225684	0.0231522	0.0176938	0.00548668	0.00162306	0.012982	0.00228222	0.0117379	0.0280944	0.0132057	0.00954733	0.00734443	0.00440081	0.00933623	0.0220189	0.0529748	0.0315094	0.000774817	0.0115487	0.034923	0.0276939	0.0301983	0.0228959	0.00625455	0.0119194	0.00908211	0.00939523	0.0136318	0.0136318	0.0136318	0.0136318	0.0136318	0.0136318	0.0160191	0.0136318	0.0136318	0.0119223	0.0303482	0.0136318	0.0136318	0.0136318	0.00747042	0.0136318	0.0136318	0.0136318	0.0136318	0.0136318	0.0136318	0.00973981	0.0283236	0.0256902	0.0136318	0.0103459	0.0136318	0.0136318	0.00102586	0.0136318	0.0111436	0.0136318	0.00220044	0.0211893	0.0136318	0.0136318	0.00103306	0.0179047	0.00647883	0.0136318	0.0136318	0.0136318	0.0136318	0.00172597	0.00346502	0.0142078	0.0136318	0.0136318	0.0136318	0.0113974	0.0016378	0.0136318	0.00111631	0.00712578	0.0136318	0.00101324	0.0136318	0.0136318	0.00183383	0.0136318	0.00191882	0.0136318	0.0136318	0.0136318	0.0136318	0.0136318	0.0136318	0.0136318	0.00975185	0.0136318	0.0136318	0.0136318	0.00372659	0.0136318	0.0136318	0.0136318	0.00399883	0.0136318	0.00426938	0.0136318	0.0136318	0.00119567	0.00345124	
700	-35528.3	-374.114	4.50302	0.154368	0.181675	0.0178136	0.000928165	0.000338064	0.00092656	0.00528608	0.0133745	0.000955701	0.00477147	0.000930679	0.00111603	0.000928446	0.000918944	0.000911834	0.0060918	0.0139163	0.00138239	0.036335	0.00365419	0.0087486	0.00825234	0.0536934	0.0370122	0.00420005	0.00548113	0.000917563	0.00900157	0.000947836	0.014902	0.00136901	0.0104576	0.00740115	0.000952624	0.00847454	0.0053624	0.0150373	0.0120677	0.011506	0.0104954	0.0106091	0.00094609	0.024853	0.0148008	0.0202316	0.0264465	0.00364644	0.00306533	0.0382388	0.00192203	0.000550392	0.00155955	0.00956323	0.00394184	0.00136042	0.0222495	0.00969066	0.0100732	0.00658245	5.73258e-05	0.00387879	0.000915098	0.00384397	0.00451362	0.000853889	0.0144385	0.0228668	0.0234582	0.0179277	0.00555922	0.00164451	0.0247759	0.00231239	0.0118931	0.0284658	0.0133803	0.00967355	0.00744152	0.00445899	0.00945966	0.00724757	0.0536752	0.031926	0.00078506	0.0117014	0.0353847	0.02806	0.0305975	0.0231985	0.00633723	0.0120769	0.00915587	0.00774911	0.0137425	0.0137425	0.0137425	0.0137425	0.0137425	0.0137425	0.0161491	0.0137425	0.0137425	0.0120191	0.0448609	0.0137425	0.0137425	0.0137425	0.00753109	0.0137425	0.0137425	0.0137425	0.0137425	0.0137425	0.0137425	0.0098189	0.0285536	0.0258988	0.00839898	0.01043	0.0137425	0.0105709	0.00103419	0.0137425	0.0112341	0.0137425	0.00221831	0.0213613	0.0137425	0.0137425	0.00104145	0.0180501	0.00653144	0.0137425	0.0137425	0.0137425	0.0137425	0.00173999	0.00349316	0.0143232	0.0137425	0.0137425	0.0137425	0.0114899	0.0016511	0.0137425	0.00112537	0.00718365	0.0137425	0.00102147	0.0143101	0.0137425	0.00184872	0.0137425	0.001	0.0137425	0.0137425	0.0137425	0.00895766	0.0137425	0.0137425	0.0137425	0.00983105	0.0125233	0.0137425	0.0137425	0.00375686	0.0137425	0.0137425	0.0137425	0.0040313	0.0137425	0.00100341	0.0137425	0.0137425	0.00120538	0.00100093	
800	-35081.2	-373.069	4.3822	0.154368	0.181675	0.0166894	0.000869592	0.00031673	0.000868088	0.00154111	0.0125305	0.00089539	0.00447036	0.000871947	0.0010456	0.000869855	0.000860952	0.000854292	0.00570737	0.0130381	0.00129515	0.0340421	0.00342358	0.00819651	0.0304883	0.050305	0.0346765	0.003935	0.00513523	0.000859659	0.00843351	0.000888021	0.0139616	0.00128262	0.00979764	0.00693409	0.0010486	0.00793974	0.00511062	0.0140884	0.0113061	0.0107799	0.00983305	0.0099396	0.0009428	0.0232846	0.0138668	0.0189549	0.020738	0.00341632	0.00287188	0.0358257	0.00180074	0.000515659	0.00146113	0.00895973	0.0207103	0.00127457	0.0208454	0.00907912	0.00943751	0.00616706	0.000994228	0.00363401	0.00085735	0.00360139	0.00422878	0.000800003	0.0135273	0.0359339	0.0255994	0.0167963	0.0052084	0.00154073	0.0232124	0.011428	0.0111426	0.0266694	0.0125359	0.00906308	0.00697191	0.0041776	0.0088627	0.0067902	0.0510896	0.0299113	0.000735518	0.010963	0.0331517	0.0262892	0.0286666	0.0217346	0.00728613	0.0113148	0.00938189	0.0079404	0.0140817	0.0140817	0.0140817	0.0140817	0.0140817	0.0140817	0.0165478	0.0140817	0.0140817	0.0123158	0.0459684	0.0140817	0.0140817	0.0140817	0.007717	0.0140817	0.0140817	0.0140817	0.0140817	0.0140817	0.0140817	0.0100613	0.0292585	0.0265381	0.00860631	0.00771651	0.0140817	0.0108319	0.00105972	0.0140817	0.0115115	0.00836817	0.00227307	0.0218887	0.0118425	0.0140817	0.00106716	0.0184957	0.00669268	0.0140817	0.0140817	0.0140817	0.0140817	0.00178294	0.00357939	0.0146768	0.0140817	0.0140817	0.0140817	0.0117736	0.00169186	0.0140817	0.00115315	0.00736099	0.0140817	0.00104668	0.0146633	0.0140817	0.00189436	0.0140817	0.00102469	0.0140817	0.0140817	0.0140817	0.00917879	0.0140817	0.0140817	0.0140817	0.0100737	0.0128324	0.0140817	0.0140817	0.0038496	0.0140817	0.0140817	0.00742497	0.00413082	0.0140817	0.001	0.00700444	0.0140817	0.00123513	0.00102564	
900	-34769.4	-373.716	4.38175	0.154368	0.181675	0.0167627	0.000873408	0.00031812	0.000871898	0.00154788	0.0125855	0.000899319	0.00448998	0.000875773	0.00105019	0.000873672	0.000864731	0.000858041	0.00573241	0.0130953	0.00130083	0.0438535	0.00343861	0.00823248	0.0306221	0.0505257	0.0348287	0.00395227	0.00515777	0.000863432	0.00847052	0.000891918	0.0140229	0.0010041	0.00181215	0.00122677	0.0010532	0.00797458	0.00513305	0.0141502	0.0113557	0.0108272	0.0098762	0.00998322	0.000946937	0.0233868	0.0139276	0.0190381	0.0208291	0.00343132	0.00288449	0.0359829	0.00180864	0.000517922	0.00146754	0.00899905	0.0208012	0.00128016	0.0209369	0.00911896	0.00947893	0.00619412	0.000998591	0.00364996	0.000861112	0.00361719	0.00424734	0.000803514	0.0135867	0.0360916	0.0257118	0.01687	0.00523125	0.0015475	0.0233143	0.0114781	0.0111915	0.0267865	0.0125909	0.00910285	0.00700251	0.00419593	0.00890159	0.00682	0.0513138	0.0300425	0.000738745	0.0110111	0.0332972	0.0264046	0.0287924	0.0218299	0.0073181	0.0113645	0.00939665	0.00795289	0.0141039	0.0141039	0.0141039	0.0141039	0.0141039	0.0141039	0.0165738	0.0141039	0.0141039	0.0123351	0.0460407	0.0141039	0.0141039	0.0141039	0.00772914	0.0141039	0.0141039	0.0141039	0.0141039	0.0141039	0.0234954	0.0100771	0.0217143	0.0265799	0.00861985	0.00772865	0.0141039	0.0108489	0.00106139	0.0141039	0.0125757	0.00838133	0.00227664	0.0219231	0.0118611	0.0141039	0.00106884	0.0185247	0.00670321	0.0141039	0.0141039	0.0141039	0.0141039	0.00178575	0.00358502	0.0146999	0.0141039	0.0141039	0.0141039	0.0117921	0.00169453	0.0141039	0.00115497	0.00737257	0.0141039	0.00104833	0.0146864	0.0127171	0.00189734	0.0141039	0.0010263	0.0141039	0.0139091	0.0141039	0.00919323	0.0112649	0.0141039	0.0141039	0.0100896	0.0128526	0.0141039	0.0141039	0.00385565	0.0141039	0.0141039	0.00743665	0.00413732	0.0141039	0.00100157	0.00701546	0.0141039	0.00123707	0.00102726	
