Gen	lnL	lnP	TL	Insertion	Deletion	
1	-53271.8	-1407	0.732733	0.00187637	0.00348022	
100	-47657.3	-1417.03	1.73581	0.00187637	0.00348022	
200	-44444.4	-1239.49	5.4178	0.00205677	0.00329982	
300	-42567.8	-1235.07	4.9746	0.00388912	0.00623957	
400	-41267.5	-965.761	5.29303	0.00689676	0.00864449	
500	-40224.5	-947.159	5.1332	0.010982	0.013321	
600	-39874.5	-950.16	5.38055	0.011267	0.0136761	
700	-38736.4	-947.245	4.83932	0.0207972	0.0252442	
800	-38087	-947.065	4.62248	0.0315328	0.0382753	
900	-38072	-950.917	5.00763	0.0315328	0.0382753	
1000	-37910.9	-952.385	5.06057	0.0348984	0.0423605	
1100	-37167.9	-950.113	4.1492	0.0631762	0.0766848	
1200	-36687.8	-958.031	3.83254	0.111497	0.135338	
1300	-36536.4	-974.997	3.87392	0.185387	0.225027	
1400	-36431.1	-968.84	3.25826	0.185387	0.225027	
1500	-36381.6	-966.3	3.53951	0.1876	0.222815	
1600	-36386.7	-964.833	3.34995	0.187312	0.223103	
1700	-36396.9	-965.338	3.31298	0.187312	0.223103	
1800	-36410	-968.482	3.31298	0.198472	0.236395	
1900	-36432.7	-968.957	3.30511	0.198789	0.236078	
2000	-36412	-967.442	3.22236	0.198789	0.236078	
2100	-36413.3	-969.121	3.3731	0.198789	0.236078	
2200	-36419.4	-970.207	3.59336	0.193687	0.230018	
2300	-36404.3	-970.909	3.37992	0.192874	0.230832	
2400	-36357.8	-970.73	3.37995	0.192874	0.230832	
2500	-36361.9	-973.324	3.37995	0.192054	0.231651	
2600	-36361.2	-974.261	3.45493	0.192054	0.231651	
2700	-36324.5	-973.585	3.45493	0.192033	0.231672	
2800	-36331	-971.913	3.3357	0.187307	0.225969	
2900	-36324.6	-971.248	3.25047	0.187307	0.225969	
3000	-36325.4	-971.953	3.11013	0.194309	0.234417	
3100	-36294.6	-973.242	3.29535	0.194309	0.234417	
3200	-36304.4	-978.32	3.63428	0.194309	0.234417	
3300	-36274.4	-974.819	3.53659	0.187969	0.226769	
3400	-36283.2	-970.017	3.38686	0.189074	0.225665	
3500	-36270.4	-972.033	3.39386	0.188415	0.226323	
3600	-36256.1	-975.274	3.22146	0.211806	0.25442	
3700	-36255.4	-975.438	3.27491	0.211937	0.25429	
3800	-36252.8	-975.984	3.27491	0.211937	0.25429	
3900	-36266.6	-973.323	3.36114	0.195921	0.235074	
4000	-36281.8	-974.973	3.47146	0.195921	0.235074	
4100	-36275.1	-975.337	3.47146	0.195921	0.235074	
4200	-36294.7	-973.71	3.25405	0.195921	0.235074	
4300	-36295.7	-973.656	3.21222	0.195921	0.235074	
4400	-36278.8	-974.912	3.30138	0.195921	0.235074	
4500	-36276.4	-975.991	3.35562	0.196705	0.236014	
4600	-36270.6	-976.107	3.34899	0.196705	0.236014	
4700	-36261.8	-974.274	3.22032	0.196705	0.236014	
4800	-36244.5	-974.092	3.22032	0.196705	0.236014	
4900	-36246.4	-973.51	3.22032	0.194062	0.232843	
5000	-36266.4	-975.775	3.3193	0.194062	0.232843	
5100	-36263.1	-975.892	3.34923	0.194062	0.232843	
5200	-36274	-975.297	3.34923	0.19425	0.232655	
5300	-36275.2	-975.297	3.34923	0.19425	0.232655	
5400	-36279.2	-977.763	3.34646	0.193618	0.233287	
5500	-36282.4	-978.228	3.37428	0.193618	0.233287	
5600	-36272.4	-976.934	3.28217	0.193618	0.233287	
5700	-36256.6	-976.589	3.28217	0.193611	0.233294	
5800	-36277.4	-978.616	3.41026	0.193611	0.233294	
5900	-36264.9	-975.024	3.32409	0.194376	0.232529	
6000	-36258.8	-976.421	3.49963	0.194376	0.232529	
6100	-36268.3	-974.469	3.21478	0.194376	0.232529	
6200	-36258.5	-974.469	3.21478	0.194376	0.232529	
6300	-36263.7	-977.399	3.43605	0.194376	0.232529	
6400	-36265.5	-977.653	3.47062	0.193143	0.231054	
6500	-36257.1	-973.966	3.2279	0.193515	0.230681	
6600	-36274.4	-978.137	3.2279	0.207733	0.24763	
6700	-36265.2	-977.829	3.23225	0.207733	0.24763	
6800	-36275.4	-978.42	3.20348	0.207733	0.24763	
6900	-36293.7	-980.121	3.25057	0.207733	0.24763	
7000	-36293.1	-979.349	3.17342	0.207733	0.24763	
7100	-36269	-979.062	3.23253	0.207733	0.24763	
7200	-36263	-977.954	3.1569	0.207733	0.24763	
7300	-36255	-977.49	3.11042	0.207733	0.24763	
7400	-36241.3	-979.562	3.30006	0.207733	0.24763	
7500	-36207.6	-978.332	3.30006	0.207733	0.24763	
7600	-36195.7	-978.332	3.30006	0.207733	0.24763	
7700	-36218	-979.21	3.30006	0.207733	0.24763	
7800	-36232	-979.2	3.24635	0.207733	0.24763	
7900	-36252	-980.079	3.24635	0.207733	0.24763	
8000	-36257.7	-980.795	3.24768	0.207733	0.24763	
8100	-36248.5	-980.619	3.24768	0.207733	0.24763	
8200	-36235.6	-978.166	3.01998	0.207733	0.24763	
8300	-36225.7	-981.019	3.32096	0.207792	0.247572	
8400	-36235.7	-981.019	3.32096	0.207792	0.247572	
8500	-36236.2	-980.286	3.26511	0.207792	0.247572	
8600	-36207.3	-977.609	3.24932	0.203857	0.242684	
8700	-36213.2	-978.132	3.24932	0.203857	0.242684	
8800	-36239	-977.505	3.16103	0.201046	0.239337	
8900	-36210.8	-976.925	3.13788	0.201046	0.239337	
9000	-36204.1	-977.736	3.20157	0.201046	0.239337	
9100	-36198.8	-979.773	3.25984	0.200538	0.239845	
9200	-36213	-980.131	3.25984	0.200538	0.239845	
9300	-36214.8	-980.31	3.25984	0.200538	0.239845	
9400	-36210.1	-981.978	3.37292	0.200538	0.239845	
9500	-36209.6	-982.335	3.37292	0.200538	0.239845	
9600	-36202.2	-980.979	3.25513	0.200538	0.239845	
