Gen	lnL	lnP	TL	Insertion	Deletion	R[1-1]	R[1-2]	R[1-3]	R[1-4]	R[1-5]	R[1-6]	R[1-7]	R[1-8]	R[1-9]	R[1-10]	R[1-11]	R[1-12]	R[2-2]	R[2-3]	R[2-4]	R[2-5]	R[2-6]	R[2-7]	R[2-8]	R[2-9]	R[2-10]	R[2-11]	R[2-12]	R[3-3]	R[3-4]	R[3-5]	R[3-6]	R[3-7]	R[3-8]	R[3-9]	R[3-10]	R[3-11]	R[3-12]	R[4-4]	R[4-5]	R[4-6]	R[4-7]	R[4-8]	R[4-9]	R[4-10]	R[4-11]	R[4-12]	R[5-5]	R[5-6]	R[5-7]	R[5-8]	R[5-9]	R[5-10]	R[5-11]	R[5-12]	R[6-6]	R[6-7]	R[6-8]	R[6-9]	R[6-10]	R[6-11]	R[6-12]	R[7-7]	R[7-8]	R[7-9]	R[7-10]	R[7-11]	R[7-12]	R[8-9]	R[8-10]	R[8-11]	R[8-12]	R[9-9]	R[9-10]	R[9-11]	R[9-12]	R[10-10]	R[10-11]	R[10-12]	R[11-11]	R[11-12]	R[12-12]	F[0]	F[1]	F[2]	F[3]	F[4]	F[5]	F[6]	F[7]	F[8]	F[9]	F[10]	F[11]	F[12]	F[13]	F[14]	F[15]	F[16]	F[17]	F[18]	F[19]	F[20]	F[21]	F[22]	F[23]	F[24]	F[25]	F[26]	F[27]	F[28]	F[29]	F[30]	F[31]	F[32]	F[33]	F[34]	F[35]	F[36]	F[37]	F[38]	F[39]	F[40]	F[41]	F[42]	F[43]	F[44]	F[45]	F[46]	F[47]	F[48]	F[49]	F[50]	F[51]	F[52]	F[53]	F[54]	F[55]	F[56]	F[57]	F[58]	F[59]	F[60]	F[61]	F[62]	F[63]	F[64]	F[65]	F[66]	F[67]	F[68]	F[69]	F[70]	F[71]	F[72]	F[73]	F[74]	F[75]	F[76]	F[77]	F[78]	F[79]	F[80]	F[81]	F[82]	F[83]	F[84]	F[85]	
1	-52780.7	-698.963	1.38005	0.0044555	0.0072803	0.00473118	0.0226257	0.0430867	0.00121043	0.0144436	0.0175949	0.0166357	0.00670027	0.029626	0.016274	0.0143048	0.00511906	0.00242313	0.00164968	0.00179989	0.0359657	0.0254705	0.0103827	0.009658	0.00908303	0.0131874	0.0260832	0.0209194	0.00778062	0.00674512	0.0236228	0.00418775	0.0425594	0.00659252	0.00143969	0.0149544	0.0206678	0.0284645	0.00618871	0.011277	0.0238439	0.00340819	0.0244147	0.00980716	0.0140895	0.0126034	0.000260286	0.0172093	0.0245227	0.00280573	0.0178062	0.000119613	0.0138303	0.00819938	0.00915889	0.00316316	7.85698e-05	0.00108051	0.00733954	0.00327733	0.0283671	0.00801837	0.00814665	0.0262977	0.00482672	0.0273753	0.00616599	0.0048449	0.0203044	0.0327147	0.00435842	0.00115469	0.0198946	0.0202378	0.00794465	0.0128989	0.00398778	0.0213493	0.00230095	0.00711373	0.00759689	0.00362701	0.011626	0.011626	0.011626	0.011626	0.011626	0.011626	0.011626	0.011626	0.011626	0.011626	0.011626	0.011626	0.011626	0.011626	0.011626	0.011626	0.011626	0.011626	0.011626	0.011626	0.011626	0.011626	0.011626	0.011626	0.011626	0.011626	0.011626	0.011626	0.011626	0.011626	0.011626	0.011626	0.011626	0.011626	0.011626	0.011626	0.011626	0.011626	0.011626	0.011626	0.011626	0.011626	0.011626	0.011626	0.011626	0.011626	0.011626	0.011626	0.011626	0.011626	0.011626	0.011626	0.011626	0.011626	0.011626	0.011626	0.011626	0.011626	0.011626	0.011626	0.011626	0.011626	0.011626	0.011626	0.011626	0.011626	0.011626	0.011626	0.011626	0.011626	0.011626	0.011626	0.011626	0.011626	0.011626	0.011626	0.011626	0.011626	0.011626	0.011626	0.011626	0.011626	0.0117882	0.011626	0.011626	0.011626	
100	-47221.4	-445.855	4.06605	0.00511804	0.00661776	0.00462013	0.0220947	0.0420754	0.00118202	0.0141046	0.0171819	0.0162452	0.006543	0.0289307	0.015892	0.0139691	0.00118756	0.00236625	0.00161096	0.00175764	0.0351215	0.0248727	0.010139	0.00943131	0.00886984	0.0128779	0.025471	0.0204284	0.00759799	0.0014586	0.0230683	0.00408946	0.0415605	0.00643778	0.00098276	0.0146034	0.0201827	0.0277964	0.00604345	0.0110123	0.0232843	0.00332819	0.0238416	0.00957697	0.0425318	0.0123076	0.000254177	0.0168053	0.0239471	0.00273988	0.0173882	0.000983183	0.0135057	0.00800693	0.00894391	0.00308891	7.67256e-05	0.00105515	0.00716726	0.0032004	0.0212966	0.00783016	0.00795544	0.0256805	0.00471343	0.0267327	0.00602127	0.00473119	0.0198278	0.0319468	0.00425612	0.00112759	0.0194276	0.0197628	0.00775817	0.0125961	0.00389418	0.0208482	0.00224695	0.00694676	0.0170182	0.00354187	0.0115357	0.0115357	0.0115357	0.0115357	0.0115357	0.0115357	0.0115357	0.0115357	0.0115357	0.0115357	0.0115357	0.0101459	0.0115357	0.0115357	0.0115357	0.0115357	0.0115357	0.0115357	0.0115357	0.0115357	0.0115357	0.0115357	0.0115357	0.0115357	0.0115357	0.0115357	0.0115357	0.0115357	0.0115357	0.0115357	0.0115357	0.0115357	0.0115357	0.0115357	0.0115357	0.0115357	0.0115357	0.0115357	0.0115357	0.0115357	0.0115357	0.0115357	0.0115357	0.0206928	0.0115357	0.0115357	0.0115357	0.0115357	0.0115357	0.0115357	0.0115357	0.0115357	0.0115357	0.0115357	0.0115357	0.0115357	0.0115357	0.0115357	0.0115357	0.0115357	0.0115357	0.0115357	0.0115357	0.0115357	0.0115357	0.0115357	0.0115357	0.0115357	0.0115357	0.0115357	0.0115357	0.0115357	0.0115357	0.0115357	0.0115357	0.0115357	0.0115357	0.0115357	0.0115357	0.0115357	0.0115357	0.0115357	0.0116966	0.0115357	0.0115357	0.0115357	
200	-45253.6	-422.153	4.9244	0.00732045	0.00902706	0.0045384	0.0217038	0.0413311	0.00116111	0.013855	0.0168779	0.0159578	0.00642725	0.0284188	0.0156109	0.0137219	0.00116655	0.00232439	0.00158246	0.00172655	0.0345002	0.0244326	0.00995961	0.00926446	0.00871293	0.0126501	0.0250204	0.020067	0.00746358	0.00143279	0.0226602	0.00401712	0.0408252	0.00632389	0.000965374	0.014345	0.0198257	0.0273047	0.00593654	0.0108175	0.0228723	0.00326932	0.0234198	0.00940755	0.0417794	0.0120899	0.00024968	0.016508	0.0235234	0.0026914	0.0170806	0.001	0.0132668	0.00786528	0.00878569	0.00303427	7.53683e-05	0.00103648	0.00704047	0.00314378	0.0209199	0.00769164	0.0078147	0.0252262	0.00463005	0.0262598	0.00591475	0.022304	0.0194771	0.0313817	0.00418082	0.00110764	0.0190839	0.0194132	0.00762092	0.0123733	0.00382529	0.0204794	0.0022072	0.00682387	0.0167171	0.00347922	0.0118215	0.00588631	0.0118215	0.0118215	0.0118215	0.0118215	0.0118215	0.0118215	0.0118215	0.0118215	0.0118215	0.0103973	0.0118215	0.0118215	0.0118215	0.0118215	0.0118215	0.0118215	0.0118215	0.0118215	0.0118215	0.0118215	0.0118215	0.0118215	0.0118215	0.0118215	0.0236125	0.00662682	0.0143817	0.0118215	0.0118215	0.0118215	0.0118215	0.0118215	0.0115167	0.0118215	0.0118215	0.0118215	0.0118215	0.0118215	0.00275263	0.0118215	0.0118215	0.0212055	0.0118215	0.0118215	0.0118215	0.0118215	0.0118215	0.0118215	0.0118215	0.0118215	0.0118215	0.0118215	0.0118215	0.0118215	0.0118215	0.00677334	0.0118215	0.0118215	0.0118215	0.0118215	0.0118215	0.0118215	0.00099846	0.0118215	0.0118215	0.0118215	0.0118215	0.0118215	0.0118215	0.0111063	0.0118215	0.0118215	0.0118215	0.0118215	0.0118215	0.0118215	0.0118215	0.0118215	0.0118215	0.0118215	0.0119864	0.0118215	0.00978443	0.0118215	
300	-44557	-416.124	5.09415	0.0073851	0.00896242	0.00462046	0.0220962	0.0420784	0.0011821	0.0141056	0.0171831	0.0162464	0.00654347	0.0289327	0.0158932	0.0139701	0.00118764	0.00236642	0.00161108	0.00916461	0.035124	0.0248744	0.0101397	0.00943198	0.00887047	0.0128788	0.0254728	0.0204298	0.00759853	0.0014587	0.0230699	0.00408975	0.0415634	0.00643824	0.00098283	0.0146044	0.0201841	0.00886699	0.00604388	0.0110131	0.0232859	0.00332843	0.0238433	0.00957765	0.0338809	0.0123085	0.000254195	0.0168065	0.0239488	0.00274007	0.0315427	0.00100865	0.00176083	0.0080075	0.00894455	0.00308913	7.6731e-05	0.00105522	0.00716777	0.00413788	0.0212982	0.00783072	0.007956	0.0256823	0.00471377	0.0267346	0.00602169	0.0227073	0.0198292	0.0319491	0.00425642	0.00112767	0.019429	0.0197642	0.00775872	0.012597	0.00389445	0.0208497	0.00100866	0.00694726	0.0170194	0.00354213	0.0120792	0.00601461	0.0120792	0.0120792	0.0120792	0.0120792	0.0120792	0.0120792	0.0120792	0.0120792	0.0120792	0.0106239	0.0120792	0.0120792	0.0120792	0.0212225	0.0120792	0.0120792	0.0120792	0.00537218	0.0120792	0.0120792	0.0238085	0.0120792	0.0120792	0.0120792	0.0241272	0.00207576	0.0146951	0.0120792	0.0120188	0.0120792	0.0120792	0.0120792	0.0117677	0.0120792	0.0120792	0.0120792	0.0120792	0.0120792	0.00281262	0.0120792	0.0120792	0.0216677	0.0120792	0.00814325	0.0120792	0.0120792	0.0120792	0.0120792	0.0120792	0.0120792	0.0120792	0.0120792	0.0120792	0.0120792	0.0120792	0.00692097	0.0120792	0.0120792	0.0120792	0.0120792	0.0120792	0.0120792	0.00102022	0.0120792	0.0120792	0.0120792	0.0120792	0.0120792	0.0120792	0.0113483	0.0120792	0.0120792	0.00492962	0.0120792	0.0120792	0.0120792	0.0120792	0.0120792	0.00589438	0.0120792	0.0122476	0.00579482	0.00234641	0.0120792	
400	-44114.4	-413.898	4.8909	0.0073851	0.00896242	0.00469505	0.022453	0.0427577	0.00120118	0.0143333	0.0174605	0.0165087	0.0066491	0.0293998	0.0161497	0.0141956	0.00101595	0.00240462	0.00163709	0.00931257	0.0464361	0.025276	0.0103034	0.00958425	0.00901367	0.0130867	0.025884	0.0207596	0.0077212	0.00148225	0.0212876	0.00100174	0.0422344	0.00654218	0.00101381	0.0148402	0.0115861	0.00901014	0.00614145	0.0111908	0.0236618	0.00338216	0.0242282	0.00973227	0.0344278	0.0125072	0.000258299	0.0170779	0.0243354	0.00278431	0.0320519	0.00102494	0.00178926	0.00813677	0.00908895	0.003139	7.79698e-05	0.00100842	0.00728349	0.00420468	0.021642	0.00795714	0.00808444	0.0260969	0.00478987	0.0271662	0.00611891	0.0230739	0.01173	0.0324649	0.00432514	0.00114588	0.0197426	0.0160859	0.00788398	0.0128004	0.00395733	0.0211863	0.00102495	0.00705941	0.0172942	0.00359931	0.00900952	0.00612288	0.0122966	0.0122966	0.0122966	0.0122966	0.015225	0.0122966	0.0122966	0.0122966	0.0122966	0.00598696	0.0250504	0.0122966	0.0122966	0.0216045	0.0122966	0.0122966	0.0122966	0.00546889	0.0122966	0.0122966	0.024237	0.0122966	0.0122966	0.0122966	0.0245615	0.00211313	0.0149597	0.0122966	0.0122352	0.0122966	0.0122966	0.0122966	0.0119796	0.0122966	0.0122966	0.0122966	0.0122966	0.0122966	0.00286326	0.0122966	0.0122966	0.0220577	0.0122966	0.00828984	0.0107969	0.0122966	0.0122966	0.0122966	0.0122966	0.0122966	0.0122966	0.0122966	0.0122966	0.0122966	0.0122966	0.001	0.00660887	0.0122966	0.00752839	0.0122966	0.0122966	0.0122966	0.00103859	0.0122966	0.0122966	0.0122966	0.0122966	0.0122966	0.0122966	0.0115526	0.0122966	0.0122966	0.00501836	0.0122966	0.0122966	0.0122966	0.0122966	0.0122966	0.00600048	0.0047299	0.0124681	0.00589914	0.00238865	0.0122966	
500	-43450.6	-419.817	5.48279	0.0073851	0.00896242	0.00467822	0.0223724	0.0426044	0.00119688	0.0142819	0.0173979	0.0164495	0.00298436	0.0292944	0.0160918	0.0141447	0.00101231	0.002396	0.00163122	0.00927917	0.0462696	0.0109576	0.0102665	0.0428388	0.00898135	0.0130398	0.0257912	0.0206852	0.00769351	0.001	0.0212112	0.000998143	0.042083	0.000966534	0.00101018	0.00759838	0.0115446	0.00897783	0.00611943	0.0111507	0.023577	0.00402439	0.0241413	0.00969737	0.0343044	0.0124624	0.000986314	0.0170166	0.0242481	0.00277432	0.031937	0.00102126	0.00178284	0.0081076	0.00905636	0.00312775	7.76902e-05	0.0010048	0.00725737	0.0041896	0.0215644	0.00792861	0.00805545	0.0260033	0.00477269	0.0270688	0.00609697	0.0229912	0.0116879	0.0323485	0.00430963	0.00114177	0.0196719	0.0160283	0.00785571	0.0127545	0.00394314	0.0211103	0.00102127	0.0070341	0.0172322	0.0035864	0.00924982	0.00628619	0.0126246	0.0126246	0.0126246	0.0126246	0.015631	0.0126246	0.0126246	0.0126246	0.0126246	0.00614664	0.0257185	0.0126246	0.0126246	0.0221808	0.0126246	0.0126246	0.0126246	0.00561475	0.0126246	0.0126246	0.0248835	0.0126246	0.0126246	0.0126246	0.0276878	0.00216949	0.0153587	0.0126246	0.0125615	0.0114677	0.0126246	0.0125779	0.0122991	0.0126246	0.0126246	0.0126246	0.0126246	0.0126246	0.00293962	0.0126246	0.0126246	0.0226461	0.00245341	0.00851094	0.0110849	0.0126246	0.0126246	0.0126246	0.0126246	0.0126246	0.0126246	0.0126246	0.0126246	0.0126246	0.0126246	0.00102667	0.00678514	0.0126246	0.00772919	0.0126246	0.0126246	0.00761935	0.00106629	0.0126246	0.0126246	0.0126246	0.00783055	0.0126246	0.0126246	0.0118608	0.0126246	0.00583024	0.00515221	0.0126246	0.0126246	0.0126246	0.0126246	0.0126246	0.00616053	0.00485605	0.0128007	0.00605648	0.00127804	0.0126246	
600	-42672.8	-413.037	4.78543	0.0073851	0.00896242	0.00454589	0.0217396	0.0413993	0.00116302	0.0138779	0.0169058	0.0159842	0.00289995	0.0284658	0.0156367	0.0137446	0.000983676	0.00372562	0.00158508	0.00901671	0.0449608	0.0106476	0.00997606	0.041627	0.00872731	0.012671	0.0250617	0.0201001	0.0074759	0.000971714	0.0206113	0.00096991	0.0408926	0.000939195	0.000981604	0.00738345	0.011218	0.00872388	0.00594634	0.0108353	0.0229101	0.00391056	0.0234585	0.00942308	0.0489211	0.0121098	0.000958415	0.0165353	0.0235623	0.00269585	0.0310336	0.000992375	0.00173241	0.00787827	0.0180154	0.00303927	7.54927e-05	0.000968268	0.00705209	0.00407109	0.0209544	0.00770434	0.0078276	0.0252678	0.00180069	0.0263032	0.00592451	0.0223408	0.0113573	0.0314335	0.00418773	0.00110947	0.0191154	0.0155749	0.0076335	0.0123937	0.0038316	0.0205132	0.000992384	0.00683513	0.021676	0.00348496	0.00570621	0.00642797	0.0129094	0.0129094	0.0129094	0.0149387	0.0159836	0.0129094	0.0129094	0.0129094	0.0129094	0.00101729	0.0262986	0.0129094	0.0129094	0.0226811	0.0129094	0.0129094	0.0129094	0.00574139	0.0129094	0.0129094	0.0254447	0.0129094	0.0129094	0.0129094	0.0283123	0.00221842	0.0157051	0.0129094	0.0128448	0.0117263	0.0129094	0.0128616	0.00693336	0.0129094	0.0129094	0.0129094	0.0129094	0.0129094	0.00300593	0.0129094	0.0129094	0.0231568	0.00250875	0.00870291	0.0113349	0.0129094	0.0129094	0.0129094	0.0129094	0.0129094	0.0115279	0.0129094	0.0129094	0.0129094	0.0129094	0.00104983	0.00693818	0.0129094	0.00790352	0.0129094	0.0129094	0.00779121	0.00109034	0.0129094	0.0129094	0.0129094	0.00800716	0.0129094	0.0129094	0.0121283	0.0129094	0.00596174	0.00526842	0.00436971	0.0129094	0.0129094	0.0129094	0.0129094	0.00629948	0.00496558	0.0130894	0.00619308	0.00130686	0.0129094	
700	-41966.3	-412.069	4.68869	0.0073851	0.00896242	0.00469302	0.00819193	0.0427393	0.00185569	0.0143271	0.017453	0.0165015	0.00299381	0.0293871	0.0161428	0.0141895	0.00101551	0.0038462	0.000987784	0.00930855	0.0477712	0.0109923	0.0102989	0.0429744	0.00900978	0.00301029	0.0258728	0.0207507	0.00771787	0.00100502	0.0212784	0.0010013	0.0422162	0.000969593	0.00101338	0.001	0.0115811	0.00900625	0.0061388	0.011186	0.0236516	0.00403713	0.0242178	0.00972807	0.0505045	0.0125018	0.00101141	0.0170705	0.0243249	0.0027831	0.0320381	0.00102449	0.00178849	0.00813326	0.0185985	0.00313765	7.79361e-05	0.000988433	0.00728034	0.00420286	0.0216326	0.0079537	0.00808095	0.0260856	0.00185897	0.0281026	0.00611627	0.0402975	0.0117249	0.0114729	0.00432327	0.00114538	0.0197341	0.016079	0.00788058	0.0127949	0.00395562	0.0211771	0.0010245	0.00705636	0.0223775	0.00359776	0.00573599	0.00646152	0.0129767	0.0129767	0.0129767	0.0150166	0.016067	0.0129767	0.0275593	0.0129767	0.0129767	0.0010226	0.0264358	0.0129767	0.0129767	0.0227994	0.0129767	0.0129767	0.0129767	0.00577135	0.0266619	0.0129767	0.0255775	0.0129767	0.0129767	0.0129767	0.0290113	0.00223	0.015787	0.0129767	0.0129119	0.0117875	0.0129767	0.0129287	0.00696954	0.00174	0.0129767	0.0129767	0.0129767	0.0129767	0.00302161	0.0129767	0.0129767	0.0232777	0.00252184	0.00874833	0.00826041	0.0129767	0.0129767	0.0129767	0.0129767	0.0129767	0.0115881	0.0129767	0.0129767	0.0129767	0.00470126	0.00105531	0.00697439	0.0129767	0.00794477	0.0129767	0.0129767	0.00783187	0.001	0.00168089	0.0129767	0.0129767	0.00804895	0.0129767	0.0129767	0.0121916	0.0129767	0.00599285	0.00529591	0.00439251	0.0129767	0.0129767	0.0129767	0.0129767	0.00633235	0.0049915	0.0131577	0.0062254	0.00131368	0.0129767	
800	-40720.2	-419.598	5.51896	0.0073851	0.00896242	0.0048056	0.00838845	0.00707335	0.0019002	0.0146708	0.0178716	0.0168974	0.00306563	0.0300921	0.01653	0.0145298	0.00103988	0.00393847	0.00101148	0.00953185	0.0489172	0.011256	0.010546	0.0440053	0.00804437	0.0030825	0.0264935	0.0212485	0.00790301	0.00102913	0.0217888	0.00102532	0.0432289	0.000992853	0.00103769	0.00102399	0.011859	0.0092223	0.00628606	0.0087272	0.0453556	0.00413398	0.0265105	0.00996144	0.0517161	0.0128017	0.0010155	0.01748	0.0249084	0.00284987	0.0328067	0.00104907	0.00183139	0.00832837	0.0190447	0.00321292	7.98057e-05	0.00101214	0.00745499	0.00430369	0.0221516	0.0081445	0.00827481	0.0267114	0.00190357	0.0287767	0.00700365	0.0412642	0.00379243	0.0130038	0.00442698	0.00117286	0.0202075	0.0164647	0.00806962	0.0131018	0.00405051	0.0216852	0.00104908	0.00722564	0.0229144	0.00368406	0.00597159	0.00672691	0.0135097	0.0135097	0.0135097	0.0156334	0.0167269	0.0135097	0.0286913	0.00340035	0.0135097	0.0010646	0.0275216	0.0135097	0.0233678	0.0237359	0.0135097	0.0135097	0.0135097	0.0060084	0.0277569	0.0135097	0.0266281	0.0135097	0.0135097	0.0135097	0.0302029	0.00232159	0.0164355	0.0135097	0.00364337	0.0122717	0.0135097	0.0134597	0.0072558	0.00181147	0.0135097	0.0135097	0.0135097	0.0135097	0.00314572	0.0135097	0.0135097	0.0242338	0.00262542	0.00910765	0.00859969	0.0135097	0.0135097	0.0135097	0.0135097	0.0135097	0.012064	0.00640407	0.0135097	0.0135097	0.00489435	0.00103121	0.00726085	0.0135097	0.00827108	0.0135097	0.00102533	0.00100095	0.00102532	0.00174993	0.0135097	0.0135097	0.00837955	0.0135097	0.0135097	0.0126923	0.0135097	0.006239	0.00551343	0.00132526	0.0135097	0.0135097	0.0135097	0.0135097	0.00659244	0.00519651	0.0136981	0.0064811	0.00136764	0.0125606	
900	-40021.3	-418.015	5.38009	0.0073851	0.00896242	0.00422328	0.00259425	0.00621623	0.00166995	0.012893	0.015706	0.0148498	0.000967177	0.0264456	0.014527	0.0127692	0.000913868	0.00346122	0.000888913	0.00837682	0.0430722	0.00989201	0.00926809	0.0386729	0.00706959	0.00270898	0.0232831	0.0186737	0.00694536	0.000913248	0.0191485	0.000901079	0.0379906	0.000872543	0.000911943	0.000899906	0.0104219	0.00810478	0.00552434	0.00766968	0.0398596	0.00363304	0.023298	0.00875435	0.0454494	0.0112504	0.000892447	0.0206111	0.0108496	0.039464	0.0288313	0.000921949	0.00160947	0.00731917	0.0589257	0.00282359	7.01352e-05	0.000889497	0.00655163	0.00378218	0.0194674	0.00715759	0.0072721	0.0234746	0.0016729	0.0368884	0.00615497	0.086671	0.00333288	0.00296529	0.00389054	0.00103074	0.0177589	0.0144696	0.00709178	0.0115142	0.00424891	0.0190574	0.000921958	0.00635007	0.0201377	0.00323764	0.00612233	0.00689672	0.0138507	0.0138507	0.0138507	0.0237046	0.0171492	0.0138507	0.0294155	0.00348619	0.0138507	0.00101758	0.0282163	0.0138507	0.0239576	0.024335	0.0138507	0.0138507	0.0138507	0.00616007	0.0284576	0.0138507	0.0273002	0.0138507	0.0138507	0.0138507	0.0309653	0.00238019	0.0168503	0.0138507	0.00147136	0.00194378	0.0138507	0.0158011	0.00743896	0.00185719	0.0138507	0.0138507	0.0138507	0.0138507	0.00322513	0.0138507	0.0138507	0.0248455	0.00269169	0.00933755	0.00881677	0.0138507	0.0138507	0.0138507	0.0138507	0.0118952	0.0123686	0.00656572	0.0138507	0.0138507	0.0050179	0.00105724	0.00744413	0.0138507	0.00118321	0.0138507	0.00101791	0.00102622	0.0010512	0.0017941	0.00957324	0.0138507	0.00859107	0.0138507	0.0138507	0.0130127	0.00546824	0.00639649	0.00565261	0.00135872	0.0138507	0.0138507	0.0138507	0.0138507	0.00675885	0.00532769	0.0140439	0.0066447	0.00140216	0.0128776	
