Gen	lnL	lnP	TL	Insertion	Deletion	R[0-0]	R[0-1]	R[0-2]	R[0-3]	R[0-4]	R[1-1]	R[1-2]	R[1-3]	R[1-4]	R[2-2]	R[2-3]	R[2-4]	R[3-3]	R[3-4]	R[4-4]	F[0]	F[1]	F[2]	F[3]	F[4]	F[5]	F[6]	F[7]	F[8]	F[9]	F[10]	F[11]	F[12]	F[13]	F[14]	F[15]	F[16]	F[17]	F[18]	F[19]	F[20]	F[21]	F[22]	F[23]	F[24]	F[25]	F[26]	F[27]	F[28]	F[29]	F[30]	F[31]	F[32]	F[33]	F[34]	F[35]	F[36]	F[37]	F[38]	F[39]	F[40]	F[41]	F[42]	F[43]	F[44]	F[45]	F[46]	F[47]	F[48]	F[49]	F[50]	F[51]	F[52]	F[53]	F[54]	F[55]	F[56]	F[57]	F[58]	F[59]	F[60]	F[61]	F[62]	F[63]	F[64]	F[65]	F[66]	F[67]	F[68]	F[69]	F[70]	F[71]	F[72]	F[73]	F[74]	F[75]	F[76]	F[77]	F[78]	F[79]	F[80]	F[81]	F[82]	
1	-6526.211786	294.868430	11.914103	0.013213	0.016775	0.158633	0.027698	0.061787	0.031261	0.134884	0.001203	0.132760	0.092766	0.114072	0.005174	0.100750	0.046019	0.031486	0.049714	0.011791	0.053587	0.005136	0.013387	0.008128	0.009779	0.003047	0.009031	0.007840	0.003303	0.004935	0.059664	0.008434	0.019783	0.000190	0.002637	0.005329	0.012086	0.018234	0.011048	0.004807	0.010732	0.001541	0.002810	0.021769	0.006031	0.012307	0.006264	0.009604	0.006905	0.003782	0.027584	0.016293	0.005693	0.077877	0.003538	0.020346	0.000749	0.017221	0.000100	0.004738	0.012413	0.007553	0.004079	0.009390	0.000100	0.007454	0.010699	0.025050	0.017580	0.005569	0.020845	0.000258	0.021106	0.000770	0.000470	0.001785	0.003459	0.008752	0.000325	0.004578	0.001566	0.020481	0.010068	0.009538	0.001272	0.003742	0.055542	0.013957	0.046693	0.000485	0.006987	0.030428	0.001574	0.001817	0.009196	0.049871	0.006754	0.000601	0.006921	0.007185	0.015171	0.016349	0.005297	
100	-6158.742902	296.324180	10.974230	0.013213	0.016775	0.190514	0.035420	0.041072	0.028774	0.126701	0.003774	0.094441	0.118355	0.134684	0.010371	0.083718	0.031849	0.035762	0.051190	0.013375	0.054457	0.005219	0.013604	0.008260	0.009938	0.003096	0.009178	0.007967	0.004956	0.005016	0.060633	0.008571	0.020104	0.000194	0.002679	0.005416	0.012282	0.018530	0.011227	0.004885	0.010906	0.001566	0.002856	0.022122	0.008424	0.012507	0.006365	0.009760	0.007017	0.003844	0.028032	0.016558	0.005785	0.079141	0.003595	0.017450	0.000761	0.017500	0.000102	0.004815	0.012614	0.007676	0.004145	0.009543	0.000102	0.007575	0.010873	0.025457	0.007101	0.005659	0.021183	0.000263	0.021449	0.000782	0.000478	0.001814	0.003515	0.008894	0.000330	0.004652	0.001591	0.020814	0.010232	0.003574	0.001292	0.003803	0.056444	0.014184	0.047451	0.000493	0.007100	0.030922	0.001599	0.001847	0.009345	0.050681	0.006843	0.000610	0.007033	0.007302	0.015417	0.016615	0.005383	
200	-5798.662123	304.206210	5.915171	0.022299	0.035343	0.190551	0.037878	0.036015	0.022376	0.114980	0.004177	0.108923	0.113716	0.147192	0.010096	0.086418	0.029062	0.037547	0.044859	0.016212	0.054557	0.005229	0.013629	0.008276	0.009956	0.003102	0.009195	0.007982	0.004966	0.005025	0.060744	0.008587	0.020141	0.000194	0.002684	0.005426	0.012305	0.018564	0.011248	0.004894	0.010926	0.001569	0.002861	0.022163	0.008440	0.012530	0.006377	0.009778	0.007030	0.003851	0.028083	0.016588	0.005796	0.079287	0.003602	0.018079	0.000763	0.017533	0.000102	0.004824	0.012637	0.007690	0.004153	0.009560	0.000102	0.007589	0.010893	0.025504	0.003571	0.005670	0.028594	0.000263	0.021488	0.000784	0.000478	0.001817	0.003522	0.008910	0.000331	0.004661	0.001594	0.020852	0.010251	0.003580	0.001295	0.003810	0.056548	0.014210	0.047538	0.000494	0.007113	0.030979	0.001602	0.001850	0.009362	0.050774	0.006856	0.000611	0.007046	0.001051	0.015446	0.016645	0.005393	
300	-5676.925961	303.612980	6.126456	0.022299	0.035343	0.197892	0.069880	0.023444	0.030235	0.090929	0.021638	0.092989	0.112880	0.139413	0.018952	0.076495	0.022967	0.031880	0.040901	0.029506	0.055395	0.005309	0.013838	0.008403	0.010109	0.003150	0.009336	0.008104	0.005042	0.005102	0.061678	0.008719	0.020450	0.000197	0.002726	0.005509	0.012494	0.018849	0.011420	0.004969	0.011094	0.001593	0.002905	0.022503	0.008569	0.012722	0.006475	0.009928	0.004089	0.003944	0.028515	0.016843	0.005885	0.080505	0.003657	0.018357	0.000774	0.017802	0.000103	0.004898	0.012831	0.007808	0.004217	0.009707	0.000103	0.007706	0.011060	0.025896	0.003626	0.005757	0.029034	0.000267	0.021818	0.000796	0.000486	0.001845	0.003576	0.009047	0.000336	0.004732	0.001619	0.021172	0.010408	0.003635	0.001315	0.003869	0.057416	0.014428	0.036521	0.000502	0.007223	0.031455	0.005611	0.001879	0.009506	0.051554	0.006961	0.000621	0.007154	0.001067	0.015683	0.016901	0.000891	
400	-5489.398199	298.260356	5.808743	0.046486	0.073679	0.183112	0.074577	0.023173	0.041112	0.101390	0.024149	0.097811	0.108165	0.113781	0.040707	0.074841	0.020447	0.029104	0.042553	0.025077	0.055198	0.005290	0.013789	0.008373	0.010073	0.003138	0.009303	0.008076	0.005024	0.005084	0.061457	0.008688	0.020377	0.000196	0.002716	0.005489	0.012449	0.018781	0.011380	0.004951	0.011054	0.001587	0.002895	0.022423	0.008539	0.012677	0.006452	0.009892	0.004074	0.003930	0.028413	0.016783	0.005864	0.080217	0.003644	0.026842	0.000772	0.017738	0.000103	0.004881	0.012786	0.007780	0.004202	0.009672	0.000103	0.007678	0.011021	0.020825	0.003613	0.005736	0.028930	0.000266	0.021740	0.000793	0.000484	0.001839	0.003563	0.009015	0.000334	0.004715	0.001613	0.021097	0.010371	0.003622	0.001310	0.003855	0.057211	0.014377	0.036390	0.000500	0.007197	0.031343	0.005591	0.001872	0.009472	0.051370	0.006936	0.000619	0.007129	0.001063	0.015627	0.016840	0.000888	
500	-5397.619825	299.036820	5.547168	0.046486	0.073679	0.202399	0.046923	0.023906	0.043163	0.100189	0.027978	0.092668	0.094194	0.117241	0.046331	0.074515	0.013463	0.029372	0.058576	0.029084	0.058239	0.005582	0.004554	0.008834	0.010628	0.003311	0.009815	0.008520	0.005301	0.005364	0.064843	0.007267	0.021500	0.000207	0.002865	0.005792	0.013135	0.019816	0.012006	0.005224	0.011663	0.001675	0.003054	0.023658	0.009009	0.013375	0.006807	0.010437	0.004299	0.004147	0.029978	0.017708	0.000775	0.084637	0.003845	0.028320	0.000814	0.018716	0.000109	0.005150	0.013490	0.008209	0.004433	0.010205	0.000109	0.008101	0.011628	0.021973	0.003812	0.006052	0.030524	0.000281	0.022938	0.000837	0.000511	0.001940	0.003760	0.009512	0.000353	0.004975	0.001702	0.022259	0.010942	0.003822	0.001382	0.004067	0.043160	0.015169	0.017809	0.000528	0.007593	0.033069	0.005899	0.001975	0.009994	0.054200	0.007318	0.000653	0.007521	0.001122	0.016488	0.017768	0.000937	
600	-5294.346625	299.113443	5.521970	0.046486	0.073679	0.228015	0.032008	0.011585	0.013966	0.099569	0.035492	0.101854	0.093119	0.098099	0.051279	0.076714	0.007729	0.037122	0.070082	0.043368	0.059144	0.005668	0.004625	0.008971	0.010793	0.003363	0.009968	0.008653	0.005383	0.005447	0.065852	0.007380	0.021834	0.000210	0.002910	0.005882	0.013339	0.005509	0.012193	0.005305	0.011844	0.001701	0.003102	0.024026	0.009149	0.013583	0.006913	0.010600	0.004365	0.004211	0.030444	0.017983	0.000787	0.085953	0.003905	0.028761	0.000827	0.019007	0.000110	0.005230	0.013700	0.008336	0.004502	0.009432	0.000110	0.008227	0.011809	0.022314	0.003871	0.006146	0.030998	0.000285	0.023295	0.000850	0.000519	0.001970	0.003818	0.009660	0.000358	0.005052	0.001728	0.022605	0.011113	0.003881	0.001403	0.004130	0.043831	0.015404	0.018086	0.000536	0.007711	0.033584	0.005991	0.002006	0.010150	0.055043	0.007432	0.000663	0.007638	0.001139	0.016744	0.018044	0.000951	
700	-5108.947539	301.773427	4.711850	0.046486	0.073679	0.215229	0.041985	0.017895	0.014469	0.111972	0.063292	0.089762	0.098547	0.075943	0.053923	0.065980	0.006628	0.038220	0.068423	0.037731	0.061474	0.005892	0.004807	0.009325	0.011219	0.003495	0.010361	0.008994	0.005595	0.005662	0.068446	0.007671	0.022694	0.000219	0.003025	0.006114	0.013865	0.005726	0.012673	0.005514	0.012311	0.001768	0.003224	0.024973	0.009510	0.014118	0.007185	0.011017	0.004537	0.004377	0.031644	0.018691	0.000818	0.089339	0.004058	0.029894	0.000859	0.019755	0.000115	0.005436	0.014239	0.008665	0.004680	0.009803	0.000115	0.008551	0.012274	0.022139	0.004023	0.006389	0.032220	0.000296	0.024213	0.000883	0.000539	0.002048	0.003968	0.010040	0.000372	0.005251	0.001796	0.023496	0.011550	0.004034	0.001459	0.004293	0.045558	0.016011	0.018798	0.000557	0.008015	0.034907	0.006227	0.002085	0.010549	0.034968	0.007725	0.000689	0.007939	0.001184	0.001307	0.018755	0.000989	
800	-5055.997602	300.544198	5.055723	0.046682	0.073989	0.221684	0.029584	0.025590	0.016727	0.120904	0.080378	0.102883	0.087405	0.071983	0.048804	0.052697	0.005677	0.028530	0.072855	0.034300	0.062045	0.005946	0.004852	0.009411	0.011323	0.003528	0.010457	0.009077	0.005647	0.005714	0.069081	0.007742	0.022905	0.000221	0.003053	0.006170	0.013993	0.005779	0.012791	0.005566	0.012425	0.001784	0.003254	0.025205	0.009598	0.014249	0.007252	0.011120	0.004580	0.004418	0.031937	0.018865	0.000826	0.090168	0.004096	0.030171	0.000867	0.010652	0.000116	0.005486	0.014372	0.008745	0.004723	0.009894	0.000116	0.008631	0.012388	0.022345	0.004061	0.006448	0.032519	0.000299	0.024437	0.000891	0.000544	0.002067	0.004005	0.010133	0.000376	0.005300	0.001813	0.023714	0.011658	0.004072	0.001472	0.004333	0.045981	0.016160	0.018973	0.000562	0.008090	0.035231	0.006285	0.002104	0.010647	0.035293	0.007796	0.000695	0.008013	0.001195	0.001320	0.018929	0.000998	
900	-5004.397922	300.619587	5.033028	0.049109	0.071562	0.224077	0.038129	0.025365	0.014451	0.131283	0.078332	0.093193	0.088743	0.063489	0.062963	0.047962	0.004283	0.035469	0.052095	0.040165	0.062905	0.006029	0.004919	0.009542	0.011480	0.003577	0.012493	0.009203	0.005725	0.005794	0.066518	0.007850	0.023223	0.000224	0.003095	0.006256	0.018768	0.005859	0.012968	0.005643	0.022697	0.001809	0.003299	0.025554	0.009731	0.014447	0.007353	0.011274	0.004643	0.004479	0.032380	0.019126	0.000837	0.091418	0.004153	0.030589	0.000879	0.010800	0.000117	0.005562	0.014571	0.008866	0.004788	0.010032	0.000117	0.008750	0.012560	0.005307	0.004117	0.006537	0.032969	0.000303	0.024776	0.000904	0.000552	0.002095	0.004061	0.010274	0.000381	0.005374	0.001838	0.024042	0.011819	0.004128	0.001493	0.004393	0.046618	0.012828	0.019236	0.000570	0.002197	0.035719	0.006372	0.002133	0.010795	0.035782	0.007904	0.000705	0.008124	0.001212	0.001338	0.019192	0.001012	
