Iteration	Posterior	Likelihood	Prior	alpha	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]	TL
0	-7294.613	-7301.902	7.289887	7.489121	0.00758122	0.0439552	0.276878	0.0110125	0.126639	0.0023123	0.391874	0.0244759	0.0929898	0.0587135	0.488006	0.036976	0.0509846	0.00391815	0.0372911	0.0218445	0.0444914	0.0132542	0.581101	0.846551	1.07782	1.49453	1.733198
10	-6551.053	-6554.238	3.185372	1.959169	0.0206092	0.190067	0.172946	0.0205042	0.222411	0.00497253	0.173953	0.171677	0.142732	0.193615	0.13319	0.0427184	0.283257	0.010393	0.0871778	0.0957578	0.135229	0.0424394	0.288351	0.6506	1.06893	1.99211	2.14365
20	-6403.083	-6396.426	-6.65685	2.720704	0.0356068	0.299128	0.125892	0.0548876	0.181536	0.0213302	0.242497	0.457374	0.364326	0.295859	0.0987576	0.0777953	0.232376	0.0194244	0.185157	0.198702	0.0603574	0.176866	0.36643	0.714789	1.08074	1.83804	3.127872
30	-6368.772	-6361.773	-6.999318	2.282717	0.0707453	0.17412	0.135718	0.0780377	0.135493	0.124912	0.284909	0.426679	0.301057	0.188713	0.109417	0.0641134	0.215519	0.0267725	0.159604	0.37622	0.0652268	0.224862	0.324838	0.682063	1.07569	1.91741	3.162118
40	-6373.176	-6365.299	-7.877411	3.394897	0.156427	0.258358	0.140812	0.0598323	0.0831125	0.174262	0.315862	0.433692	0.338406	0.308813	0.136013	0.10922	0.0911755	0.0345232	0.13589	0.280698	0.0644446	0.128387	0.417679	0.751287	1.08388	1.74716	3.249928
50	-6366.581	-6358.186	-8.394185	2.57999	0.16504	0.204496	0.116548	0.0371059	0.119256	0.14696	0.321984	0.428754	0.34549	0.233916	0.119181	0.0742441	0.198443	0.0332545	0.147893	0.369407	0.0431785	0.196453	0.353912	0.705257	1.07948	1.86135	3.301605
60	-6367.224	-6358.453	-8.770841	2.57238	0.254745	0.244667	0.153019	0.0381613	0.108529	0.168485	0.349491	0.39493	0.313414	0.244027	0.0919152	0.0405726	0.206968	0.035049	0.103658	0.449142	0.0594226	0.0830768	0.353213	0.704718	1.0794	1.86266	3.339271
70	-6370.956	-6363.665	-7.29051	1.902295	0.281508	0.142807	0.190607	0.0416719	0.0781067	0.171615	0.293965	0.342705	0.324133	0.310905	0.137232	0.0529937	0.234193	0.0529681	0.148785	0.280197	0.0488095	0.0580351	0.281326	0.644205	1.06734	2.00713	3.191238
80	-6364.972	-6358.013	-6.959067	2.578326	0.281508	0.189853	0.136931	0.0479998	0.111016	0.164223	0.30167	0.388961	0.331474	0.206805	0.150951	0.0573024	0.143401	0.063371	0.0996598	0.365321	0.0890762	0.0285713	0.353759	0.705139	1.07946	1.86164	3.158093
90	-6374.376	-6367.469	-6.907172	2.603742	0.231258	0.172097	0.191892	0.0885647	0.0943168	0.182968	0.232401	0.413218	0.24551	0.146226	0.061117	0.0958605	0.266785	0.0324309	0.0912747	0.427223	0.0841146	0.0956476	0.356077	0.706925	1.07971	1.85728	3.152904
